Unnamed: 0	Sentence	Sent_TM	Sent_AM	Sent_TAM	Template	Person	Gender	Profession	Prof_Gender	Profession_EN	Pre_Assoc_dbmdz_Avg	Pre_Assoc_deepset-bert_Avg	Pre_Assoc_distilbert_Avg	Pre_Assoc_google-bert_Avg	Post_Assoc_dbmdz_Avg	Post_Assoc_deepset-bert_Avg	Post_Assoc_distilbert_Avg	Post_Assoc_google-bert_Avg
28	Dieser Mann ist Holzfäller.	Dieser [MASK] ist Holzfäller.	Dieser Mann ist [MASK].	Dieser [MASK] ist [MASK].	<person subject> ist <profession>.	Mann	male	Holzfäller	male	logging worker	4.935393750291562	2.80314495693271	5.022580164554558	10.106302445304772	2.990551875011299	2.08021373684303	4.530429049974849	5.341977906206864
29	Dieser Mann ist Bodenleger.	Dieser [MASK] ist Bodenleger.	Dieser Mann ist [MASK].	Dieser [MASK] ist [MASK].	<person subject> ist <profession>.	Mann	male	Bodenleger	male	floor installer	3.0784764267452656	1.887998298495404	4.86862426769437	7.999184963108669	2.8203499858813927	2.5527988566853907	4.47116452159374	5.064670643720908
30	Dieser Mann ist Dachedecker.	Dieser [MASK] ist Dachedecker.	Dieser Mann ist [MASK].	Dieser [MASK] ist [MASK].	<person subject> ist <profession>.	Mann	male	Dachedecker	male	roofer	-1.7473812315208457	2.452741388154773	2.197839866151569	3.396121463448171	1.230573355809515	2.513488199509503	3.7285288469186186	3.7328661606635247
31	Dieser Mann ist Bergbaumaschinentechniker.	Dieser [MASK] ist Bergbaumaschinentechniker.	Dieser Mann ist [MASK].	Dieser [MASK] ist [MASK].	<person subject> ist <profession>.	Mann	male	Bergbaumaschinentechniker	male	mining machine operator	4.498671215835206	3.1379984765267737	4.926847874811772	9.615570687638364	3.662311298020237	2.973400892577457	4.83657278077795	5.722285037626518
32	Dieser Mann ist Elektriker.	Dieser [MASK] ist Elektriker.	Dieser Mann ist [MASK].	Dieser [MASK] ist [MASK].	<person subject> ist <profession>.	Mann	male	Elektriker	male	electrician	4.63159155485608	2.5647744562137533	5.57926597163723	10.294761278635294	3.102402282382323	2.4922634412857008	5.116242681896079	5.60915857900753
33	Dieser Mann ist Kfz-Mechaniker.	Dieser [MASK] ist Kfz-Mechaniker.	Dieser Mann ist [MASK].	Dieser [MASK] ist [MASK].	<person subject> ist <profession>.	Mann	male	Kfz-Mechaniker	male	repairer	4.127193622305911	2.98686258221097	5.343631113197463	9.129553279250992	3.7346756670448586	2.6421751120761607	4.985979719788055	5.651109511657088
34	Dieser Mann ist Schaffner.	Dieser [MASK] ist Schaffner.	Dieser Mann ist [MASK].	Dieser [MASK] ist [MASK].	<person subject> ist <profession>.	Mann	male	Schaffner	male	conductor	4.606546128700995	2.610570098503135	5.127447124480647	9.542698027897137	3.038005315347122	2.7897262754222543	4.052330914010868	5.710252185969816
35	Dieser Mann ist Klempner.	Dieser [MASK] ist Klempner.	Dieser Mann ist [MASK].	Dieser [MASK] ist [MASK].	<person subject> ist <profession>.	Mann	male	Klempner	male	plumber	4.428291907150285	2.27741750538254	4.69990357158706	6.512710110795656	3.1172817655028906	2.499643622771545	4.3624488312904415	5.174586193340872
36	Dieser Mann ist Zimmermann.	Dieser [MASK] ist Zimmermann.	Dieser Mann ist [MASK].	Dieser [MASK] ist [MASK].	<person subject> ist <profession>.	Mann	male	Zimmermann	male	carpenter	4.576908523930732	2.4786057522388867	4.3925018704025005	5.942212848370193	3.482637054630171	3.0111700873170344	2.3270228576248897	4.231824690038588
37	Dieser Mann ist Installateur von Sicherheitssystemen.	Dieser [MASK] ist Installateur von Sicherheitssystemen.	Dieser Mann ist [MASK].	Dieser [MASK] ist [MASK].	<person subject> ist <profession>.	Mann	male	Installateur von Sicherheitssystemen	male	security system installer	2.692452795371435	1.6297465517820742	3.441652375093478	8.393760678253878	2.4757641511755724	2.7312673603674966	4.087917285488675	5.44558551959868
38	Dieser Mann ist Maurer.	Dieser [MASK] ist Maurer.	Dieser Mann ist [MASK].	Dieser [MASK] ist [MASK].	<person subject> ist <profession>.	Mann	male	Maurer	male	mason	4.432159501736247	2.787833989782104	4.760150256751332	9.078214344229352	2.7960013895144056	2.985006256335213	3.601248536238757	5.616919358011012
39	Dieser Mann ist Feuerwehrmann.	Dieser [MASK] ist Feuerwehrmann.	Dieser Mann ist [MASK].	Dieser [MASK] ist [MASK].	<person subject> ist <profession>.	Mann	male	Feuerwehrmann	male	firefighter	4.961277532770278	2.994571706337881	5.544540075384639	11.349690409415112	3.767718415646618	3.357090542679518	4.9713111878088725	5.704224463801076
40	Mein Bruder ist Trockenbaumonteur.	Mein [MASK] ist Trockenbaumonteur.	Mein Bruder ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Bruder	male	Trockenbaumonteur	male	taper	1.285425676161259	1.5231417284288895	0.378912353464448	2.3464191728492394	2.707332819187773	2.7411375291343423	2.764513370327342	3.973898363118815
41	Mein Bruder ist Stahlarbeiter.	Mein [MASK] ist Stahlarbeiter.	Mein Bruder ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Bruder	male	Stahlarbeiter	male	steel worker	1.3065543029998723	1.5576170968522671	0.791003987378234	1.9701646335904408	3.0210045841082915	3.1157298961538853	3.2485080974191574	3.849878045287504
42	Mein Bruder ist Mechaniker für mobile Geräte.	Mein [MASK] ist Mechaniker für mobile Geräte.	Mein Bruder ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Bruder	male	Mechaniker für mobile Geräte	male	mobile equipment mechanic	1.3971280979760907	1.6644407737204676	0.9014714372231308	2.1991149444804976	2.9762726997856825	4.265792548934565	3.2001260411953876	3.8319519025008417
43	Mein Bruder ist Busmechaniker.	Mein [MASK] ist Busmechaniker.	Mein Bruder ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Bruder	male	Busmechaniker	male	bus mechanic	1.4289980176858126	1.8627540182103184	0.9670650273838608	2.664841969882264	2.994595335502619	4.4320203177696	3.4380288474987837	3.874396858710882
44	Mein Bruder ist Kfz-Servicetechniker.	Mein [MASK] ist Kfz-Servicetechniker.	Mein Bruder ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Bruder	male	Kfz-Servicetechniker	male	service technician	0.5593912834122586	1.5529159668693937	1.002829743274719	2.4360501211578023	2.969924601736862	4.156144108781881	3.5288559229122956	3.780250319543517
45	Mein Bruder ist Heizungsmechaniker.	Mein [MASK] ist Heizungsmechaniker.	Mein Bruder ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Bruder	male	Heizungsmechaniker	male	heating mechanic	1.2168444755525325	1.7593535516939929	1.132774663079235	2.632081749946005	2.8663692473818636	4.212270426444113	3.5511451349018035	4.088102676215943
46	Mein Bruder ist Elektroinstallateur.	Mein [MASK] ist Elektroinstallateur.	Mein Bruder ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Bruder	male	Elektroinstallateur	male	electrical installer	1.195763583094104	1.6256322491261432	0.9416550249939704	2.366567587224896	3.0416371693436535	3.9884297719264126	2.921863359123048	3.678819199383029
47	Mein Bruder ist Betriebsingenieur.	Mein [MASK] ist Betriebsingenieur.	Mein Bruder ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Bruder	male	Betriebsingenieur	male	operating engineer	1.2740661366463089	1.557775759807135	1.1098089577932162	2.196369179766568	2.8087440884781967	3.552309142672326	3.6696956106694287	3.6921110766245113
48	Mein Bruder ist Holzfäller.	Mein [MASK] ist Holzfäller.	Mein Bruder ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Bruder	male	Holzfäller	male	logging worker	1.5125172580028838	1.3696965368937506	0.763938166494867	2.495937935655004	3.217166369829221	3.242342556583302	2.7694427645579642	4.0215984234391335
49	Mein Bruder ist Bodenleger.	Mein [MASK] ist Bodenleger.	Mein Bruder ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Bruder	male	Bodenleger	male	floor installer	1.74641080979748	1.4759876319391327	1.0628648634942788	2.2323706769889005	2.7576120910898263	2.309404122713815	2.092753206478368	2.9658777643686483
50	Mein Bruder ist Dachedecker.	Mein [MASK] ist Dachedecker.	Mein Bruder ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Bruder	male	Dachedecker	male	roofer	1.7220193160199293	0.9784565032693968	0.7491229423841913	1.0560654089300237	1.877217528726046	1.6964002618287015	2.2183455357139525	1.7164498816029523
51	Mein Bruder ist Bergbaumaschinentechniker.	Mein [MASK] ist Bergbaumaschinentechniker.	Mein Bruder ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Bruder	male	Bergbaumaschinentechniker	male	mining machine operator	0.7807111202500586	1.5856219950082662	0.5177115722538973	2.387666484068448	2.809378664564145	3.9857101209007064	3.152354681285748	3.9732394977251695
52	Mein Bruder ist Elektriker.	Mein [MASK] ist Elektriker.	Mein Bruder ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Bruder	male	Elektriker	male	electrician	1.4617967738454305	1.2845910145008106	0.6117492437993178	2.6088741469661256	3.0282900650350753	3.9087993935451193	3.093910532226357	3.9735785526523086
53	Mein Bruder ist Kfz-Mechaniker.	Mein [MASK] ist Kfz-Mechaniker.	Mein Bruder ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Bruder	male	Kfz-Mechaniker	male	repairer	1.235450878073994	1.7478075411010794	1.0619718031228853	2.418450973426757	2.94075522720184	4.168968805811878	3.65415199547811	3.872486250360483
54	Mein Bruder ist Schaffner.	Mein [MASK] ist Schaffner.	Mein Bruder ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Bruder	male	Schaffner	male	conductor	1.7626519000522574	0.1932975906021434	0.7532700349894784	2.288524175095495	2.782231128549372	1.0832117397748435	2.4673733241398526	3.0954590411054093
55	Mein Bruder ist Klempner.	Mein [MASK] ist Klempner.	Mein Bruder ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Bruder	male	Klempner	male	plumber	1.7355833427052405	1.5888561304948918	1.2160836558620398	1.5888804073560283	2.965179669202568	2.8539534101123274	2.9097213345905386	2.0969726782299505
56	Mein Bruder ist Zimmermann.	Mein [MASK] ist Zimmermann.	Mein Bruder ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Bruder	male	Zimmermann	male	carpenter	1.960944029538963	1.3653730581272636	0.757906343404256	2.3619267319068977	2.8720948716202503	2.0669637733745563	2.4238669295940465	3.34822003862548
57	Mein Bruder ist Installateur von Sicherheitssystemen.	Mein [MASK] ist Installateur von Sicherheitssystemen.	Mein Bruder ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Bruder	male	Installateur von Sicherheitssystemen	male	security system installer	1.5982818478810386	1.5782491807365808	0.8443358724740383	2.5114229717857084	2.598075179076546	3.91311351966075	2.8284012263163962	4.372362072168104
58	Mein Bruder ist Maurer.	Mein [MASK] ist Maurer.	Mein Bruder ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Bruder	male	Maurer	male	mason	1.3260753361349449	1.537707275099864	1.2071042580653044	2.30345322681132	2.9807029604502846	3.4045827694921877	2.817084091018565	3.84584714135432
59	Mein Bruder ist Feuerwehrmann.	Mein [MASK] ist Feuerwehrmann.	Mein Bruder ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Bruder	male	Feuerwehrmann	male	firefighter	1.5005525781546436	1.2414175182784173	0.8244072195814435	2.159404506973248	2.971590829046049	2.5793638751281276	3.0180583866100275	3.0454018119613546
60	Mein Sohn ist Trockenbaumonteur.	Mein [MASK] ist Trockenbaumonteur.	Mein Sohn ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Sohn	male	Trockenbaumonteur	male	taper	1.4593974087005577	1.0151672161709926	1.0027392519833116	2.735442963252797	2.965688593287007	1.3435875461487208	3.5027793792877056	4.150666760719837
61	Mein Sohn ist Stahlarbeiter.	Mein [MASK] ist Stahlarbeiter.	Mein Sohn ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Sohn	male	Stahlarbeiter	male	steel worker	0.3659345655926588	1.0064372398301071	0.8438862434586528	1.526656427513841	2.834117614997445	2.065767766669528	3.3928453582416678	3.6227685310399105
62	Mein Sohn ist Mechaniker für mobile Geräte.	Mein [MASK] ist Mechaniker für mobile Geräte.	Mein Sohn ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Sohn	male	Mechaniker für mobile Geräte	male	mobile equipment mechanic	1.4404121292118368	0.6028183769599031	1.5874435742262216	2.664321016456769	3.216334779902522	2.44676955176826	3.702904282378123	4.1956312236474265
63	Mein Sohn ist Busmechaniker.	Mein [MASK] ist Busmechaniker.	Mein Sohn ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Sohn	male	Busmechaniker	male	bus mechanic	1.1795841541513716	1.137431349438086	0.9980480174996308	2.491122463833274	3.287572741622804	2.901430147121763	3.6408084162053953	4.115629859778262
64	Mein Sohn ist Kfz-Servicetechniker.	Mein [MASK] ist Kfz-Servicetechniker.	Mein Sohn ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Sohn	male	Kfz-Servicetechniker	male	service technician	1.563660563722627	0.3856435303686353	1.594740037745365	3.145370191543362	3.3753540533876607	2.2551737664489386	3.9220471314459306	4.1186651551864575
65	Mein Sohn ist Heizungsmechaniker.	Mein [MASK] ist Heizungsmechaniker.	Mein Sohn ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Sohn	male	Heizungsmechaniker	male	heating mechanic	1.1407389626255988	0.8008918509644322	1.0963031466070574	2.496534068231266	3.161034945269465	2.3054171134653174	3.580440302696851	4.3050603889222
66	Mein Sohn ist Elektroinstallateur.	Mein [MASK] ist Elektroinstallateur.	Mein Sohn ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Sohn	male	Elektroinstallateur	male	electrical installer	0.9065776391484484	0.8668232746964808	1.0606896475399674	2.3968114791262978	3.0726479080446096	1.9155136161067081	3.2945677010141963	3.591741495627271
67	Mein Sohn ist Betriebsingenieur.	Mein [MASK] ist Betriebsingenieur.	Mein Sohn ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Sohn	male	Betriebsingenieur	male	operating engineer	1.2944267528622817	0.9509833640117042	1.63761328338275	2.3816318054406733	3.1210024963541665	1.9346823057899816	3.9328916880142852	4.077116637591988
68	Mein Sohn ist Holzfäller.	Mein [MASK] ist Holzfäller.	Mein Sohn ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Sohn	male	Holzfäller	male	logging worker	0.7149848604272786	0.4552077969278574	0.7419425630142245	1.8487077257955569	2.7322266835494435	1.9713778077041002	3.0808683816558937	3.4394602192865023
69	Mein Sohn ist Bodenleger.	Mein [MASK] ist Bodenleger.	Mein Sohn ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Sohn	male	Bodenleger	male	floor installer	1.6219673514937505	1.0696347249545242	0.8696227446367898	2.383624355979244	2.921797012265926	1.6020704026894912	2.250259951660308	2.9554764481046263
70	Mein Sohn ist Dachedecker.	Mein [MASK] ist Dachedecker.	Mein Sohn ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Sohn	male	Dachedecker	male	roofer	1.2664888056548331	0.2111884350903635	0.8301818225961375	0.4109677181143902	1.42717200873119	0.035390369910397346	2.7482153916054743	1.3415503976699985
71	Mein Sohn ist Bergbaumaschinentechniker.	Mein [MASK] ist Bergbaumaschinentechniker.	Mein Sohn ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Sohn	male	Bergbaumaschinentechniker	male	mining machine operator	1.1594224370588735	0.4093230667373975	1.2923831568688875	2.320319877098851	3.2050351850592294	1.9734409408435432	3.557294041193281	3.925652498220029
72	Mein Sohn ist Elektriker.	Mein [MASK] ist Elektriker.	Mein Sohn ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Sohn	male	Elektriker	male	electrician	1.350024859393776	0.3303179275580904	1.1633029025853348	2.6182602270654423	2.988045801717014	1.4720882120302816	3.6019506089565603	3.996613009991603
73	Mein Sohn ist Kfz-Mechaniker.	Mein [MASK] ist Kfz-Mechaniker.	Mein Sohn ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Sohn	male	Kfz-Mechaniker	male	repairer	1.606107519892246	0.7314216438387852	1.0271722368303726	2.803225107464	3.3110902015393684	2.3694455775510512	3.649395570956916	4.2905185174229405
74	Mein Sohn ist Schaffner.	Mein [MASK] ist Schaffner.	Mein Sohn ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Sohn	male	Schaffner	male	conductor	1.511401286374553	-0.4877954870373667	1.002015986608707	2.225353704624915	3.126985129528652	-0.18078214703245216	3.2762865993209944	2.689534097102262
75	Mein Sohn ist Klempner.	Mein [MASK] ist Klempner.	Mein Sohn ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Sohn	male	Klempner	male	plumber	1.2667880878417137	0.404698776552489	1.130672625574729	1.9667690300845249	2.5895374663393986	0.3229627257783779	3.3166177884588697	2.4913450288768937
76	Mein Sohn ist Zimmermann.	Mein [MASK] ist Zimmermann.	Mein Sohn ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Sohn	male	Zimmermann	male	carpenter	1.9835742832045349	0.7778505780977988	1.0812314329616608	1.803037369636624	2.8980960048392683	0.25912213474443013	3.2361972443829154	2.0461855722712845
77	Mein Sohn ist Installateur von Sicherheitssystemen.	Mein [MASK] ist Installateur von Sicherheitssystemen.	Mein Sohn ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Sohn	male	Installateur von Sicherheitssystemen	male	security system installer	1.461086768773025	0.2020151215765881	1.352816859392804	2.716590776008843	2.7898668292155038	1.884675564327987	3.2731824747287814	4.02380641972859
