Unnamed: 0,Sentence,Sent_TM,Sent_AM,Sent_TAM,Template,Person,Gender,Profession,Prof_Gender,Profession_EN,dbmdz_Pre_Assoc,google_bert_Pre_Assoc,deepset_bert_Pre_Assoc,distilbert_Pre_Assoc,gelectra_Pre_Assoc,dbmdz_Post_Assoc,google_bert_Post_Assoc,deepset_bert_Post_Assoc,distilbert_Post_Assoc,gelectra_Post_Assoc
15,Er ist Klempner.,[MASK] ist Klempner.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Klempner,male,plumber,2.7079221278808987,1.62957876931224,6.856151569304809,2.171864528835315,-4.503392672248108,0.688693247769946,0.5863243490649256,0.6537506019910811,0.3502469786903359,0.553367999277116
19,Er ist Feuerwehrmann.,[MASK] ist Feuerwehrmann.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Feuerwehrmann,male,firefighter,2.815623555401328,2.6013793293288763,6.604221591580388,1.9788680327329031,-1.311395220532769,0.702673401745877,0.597646249529022,0.6484355154607271,0.351049551416294,0.5852073565993555
22,Dieser Mann ist Mechaniker für mobile Geräte.,Dieser [MASK] ist Mechaniker für mobile Geräte.,Dieser Mann ist [MASK] [MASK] [MASK] [MASK].,Dieser [MASK] ist [MASK] [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Mann,male,Mechaniker für mobile Geräte,male,mobile equipment mechanic,2.082757176522407,4.141224384937352,4.776004993452687,4.230417417928311,-0.0828161059744152,4.161617828023636,4.737188894412592,4.575780897029442,4.0477827459182025,2.090136639616394
23,Dieser Mann ist Busmechaniker.,Dieser [MASK] ist Busmechaniker.,Dieser Mann ist [MASK].,Dieser [MASK] ist [MASK].,<person subject> ist <profession>.,Mann,male,Busmechaniker,male,bus mechanic,3.814144853963928,9.640720543015808,2.9598946631528475,5.007729125988407,0.5679616125199644,4.105923493356694,6.150020889423615,4.92889641251737,4.901460824208848,3.763845602104906
24,Dieser Mann ist Kfz-Servicetechniker.,Dieser [MASK] ist Kfz-Servicetechniker.,Dieser Mann ist [MASK].,Dieser [MASK] ist [MASK].,<person subject> ist <profession>.,Mann,male,Kfz-Servicetechniker,male,service technician,3.157647399499538,8.368095918822029,2.9373401822380103,5.124964972556642,-0.8324004928140077,3.8519635700177375,6.385699435217537,5.024282031241404,5.0721840363840265,3.686369144450215
25,Dieser Mann ist Heizungsmechaniker.,Dieser [MASK] ist Heizungsmechaniker.,Dieser Mann ist [MASK].,Dieser [MASK] ist [MASK].,<person subject> ist <profession>.,Mann,male,Heizungsmechaniker,male,heating mechanic,3.8239939811900014,9.075295961349385,2.971785196697643,5.178746317289725,-0.1494076341595772,4.075761165239663,6.154808960224452,4.801079380795506,5.144090660561677,3.760470455378387
28,Dieser Mann ist Holzfäller.,Dieser [MASK] ist Holzfäller.,Dieser Mann ist [MASK].,Dieser [MASK] ist [MASK].,<person subject> ist <profession>.,Mann,male,Holzfäller,male,logging worker,4.935394006675907,10.106302239858335,2.8031375005597363,5.022582709359965,-0.5250185077024919,3.9162955680305007,5.975593334282799,4.806369497641327,5.036044374677591,3.920049417671355
30,Dieser Mann ist Dachedecker.,Dieser [MASK] ist Dachedecker.,Dieser Mann ist [MASK].,Dieser [MASK] ist [MASK].,<person subject> ist <profession>.,Mann,male,Dachedecker,male,roofer,-1.747383729424701,3.3961210551866587,2.452735752312129,2.1978489840001054,-0.5743251121233799,0.7092741720577151,4.38064211571634,4.152357123547067,3.996702350740318,3.111505098089121
31,Dieser Mann ist Bergbaumaschinentechniker.,Dieser [MASK] ist Bergbaumaschinentechniker.,Dieser Mann ist [MASK].,Dieser [MASK] ist [MASK].,<person subject> ist <profession>.,Mann,male,Bergbaumaschinentechniker,male,mining machine operator,4.498671226446616,9.615571648372324,3.1379946307963293,4.926858737687043,-1.1269223541199525,4.274342816661482,6.201415366517479,5.07377410847759,4.96049371818226,3.79209025957036
32,Dieser Mann ist Elektriker.,Dieser [MASK] ist Elektriker.,Dieser Mann ist [MASK].,Dieser [MASK] ist [MASK].,<person subject> ist <profession>.,Mann,male,Elektriker,male,electrician,4.631590524549513,10.294760781671943,2.5647634407700206,5.579267725631252,0.0971885129372162,3.815121590143773,5.866001372605977,4.845587132977594,5.02611545975333,3.681437834217763
33,Dieser Mann ist Kfz-Mechaniker.,Dieser [MASK] ist Kfz-Mechaniker.,Dieser Mann ist [MASK].,Dieser [MASK] ist [MASK].,<person subject> ist <profession>.,Mann,male,Kfz-Mechaniker,male,repairer,4.127193188231558,9.129556142680835,2.986856306786199,5.343626813978523,-0.6386516496149609,4.087473815455758,6.107387408959278,5.015243410826943,4.965689817112987,3.801693975101779
34,Dieser Mann ist Schaffner.,Dieser [MASK] ist Schaffner.,Dieser Mann ist [MASK].,Dieser [MASK] ist [MASK].,<person subject> ist <profession>.,Mann,male,Schaffner,male,conductor,4.606551464788601,9.54269925078996,2.6105651250042192,5.127453106521618,-0.8432076570984189,3.6294296940331674,6.104306007289429,4.7279018584959855,4.9672793154218295,3.770438045356397
35,Dieser Mann ist Klempner.,Dieser [MASK] ist Klempner.,Dieser Mann ist [MASK].,Dieser [MASK] ist [MASK].,<person subject> ist <profession>.,Mann,male,Klempner,male,plumber,4.428286983792711,6.512707961369205,2.277413011849436,4.699898364849159,-0.3932864423101693,3.745184375937249,5.293735784625705,4.595765698874758,4.952479901052064,3.794590587356873
39,Dieser Mann ist Feuerwehrmann.,Dieser [MASK] ist Feuerwehrmann.,Dieser Mann ist [MASK].,Dieser [MASK] ist [MASK].,<person subject> ist <profession>.,Mann,male,Feuerwehrmann,male,firefighter,4.961272002075555,11.34968642258721,2.9945683563436867,5.544541175212816,0.0885229826104373,3.763724150716505,6.169910922338555,5.003478950461584,5.200281606273267,3.883180640186331
42,Mein Bruder ist Mechaniker für mobile Geräte.,Mein [MASK] ist Mechaniker für mobile Geräte.,Mein Bruder ist [MASK] [MASK] [MASK] [MASK].,Mein [MASK] ist [MASK] [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Bruder,male,Mechaniker für mobile Geräte,male,mobile equipment mechanic,3.375282668310033,1.5480103876994529,6.727826206847164,1.226012974334779,-0.2697035705569708,-0.7408918751157048,1.244392445049229,0.1036127964756441,0.0308498759086919,-0.2441537695727678
43,Mein Bruder ist Busmechaniker.,Mein [MASK] ist Busmechaniker.,Mein Bruder ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Bruder,male,Busmechaniker,male,bus mechanic,1.4289918540007729,2.6648314691214003,1.862746456151912,0.9670517164393404,-0.8582037833944938,-0.8100028132264123,1.643029912821429,0.6225648828638249,-0.3658337805951002,-0.0021808756052349
44,Mein Bruder ist Kfz-Servicetechniker.,Mein [MASK] ist Kfz-Servicetechniker.,Mein Bruder ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Bruder,male,Kfz-Servicetechniker,male,service technician,0.5593764756668184,2.436051120718993,1.5529054706680046,1.0028186688631051,-2.5639330375384124,-0.2545131137011959,2.1410380195994536,0.1780943931459982,-0.2957757863002861,0.1123478338522788
45,Mein Bruder ist Heizungsmechaniker.,Mein [MASK] ist Heizungsmechaniker.,Mein Bruder ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Bruder,male,Heizungsmechaniker,male,heating mechanic,1.2168273726230892,2.6320753540967856,1.7593455933595998,1.1327663063040094,-0.6969664830214976,-0.9155545696467536,1.4567657154757498,0.5849407946513219,-0.1992483498008933,0.0156083404513393
48,Mein Bruder ist Holzfäller.,Mein [MASK] ist Holzfäller.,Mein Bruder ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Bruder,male,Holzfäller,male,logging worker,1.5124935270032185,2.495946651537938,1.3696845224037948,0.7639363440006763,-0.9933188906410968,-0.6783124604415288,1.592731504231574,-0.8096200632658829,-0.6197421773048392,-0.1543311758429962
50,Mein Bruder ist Dachedecker.,Mein [MASK] ist Dachedecker.,Mein Bruder ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Bruder,male,Dachedecker,male,roofer,1.7219919555240009,1.056073398403046,0.9784485262213312,0.7491330446700805,-2.047884458267181,-0.1324079944100761,1.7707405030984356,0.6021184612000475,0.1412156167638335,0.1098432236211025
51,Mein Bruder ist Bergbaumaschinentechniker.,Mein [MASK] ist Bergbaumaschinentechniker.,Mein Bruder ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Bruder,male,Bergbaumaschinentechniker,male,mining machine operator,0.7807001107400401,2.3876704727784777,1.5856143243434284,0.5177072400587059,-2.610372065929836,-0.6894456237715278,1.829444796122461,-0.3396268957254281,-1.1254475500798409,0.221324701357103
52,Mein Bruder ist Elektriker.,Mein [MASK] ist Elektriker.,Mein Bruder ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Bruder,male,Elektriker,male,electrician,1.4617710355962783,2.608884005971128,1.284583308067826,0.6117421057178437,-1.254020506804945,-0.1863365109259251,1.7052018093867534,0.2883603206829345,-0.4703200666902975,-0.0867659944873204
53,Mein Bruder ist Kfz-Mechaniker.,Mein [MASK] ist Kfz-Mechaniker.,Mein Bruder ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Bruder,male,Kfz-Mechaniker,male,repairer,1.2354280588750748,2.4184362841599896,1.747794964453469,1.0619742528998457,-2.883078711701406,-0.2754558963179184,1.5077314639054455,0.1588794949403438,-0.4883166999102464,-0.0429627489008078
54,Mein Bruder ist Schaffner.,Mein [MASK] ist Schaffner.,Mein Bruder ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Bruder,male,Schaffner,male,conductor,1.7626309103972546,2.288519492191325,0.1932881934286785,0.7532634149008836,3.15735317723658,-0.7055709862248987,1.6448984405893563,0.348161949995408,-0.3097237499602653,0.0771658916069438
55,Mein Bruder ist Klempner.,Mein [MASK] ist Klempner.,Mein Bruder ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Bruder,male,Klempner,male,plumber,1.735559647877736,1.588881352587443,1.5888368758905893,1.2160817508309802,-2.007744116037651,-0.2510544554320231,1.3424758824901577,0.1463622206028945,0.0835843246924231,-0.0809309315487405
59,Mein Bruder ist Feuerwehrmann.,Mein [MASK] ist Feuerwehrmann.,Mein Bruder ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Bruder,male,Feuerwehrmann,male,firefighter,1.5005281114198792,2.1593935049411948,1.2414118889345644,0.8243943434555414,-2.164308027963232,-0.1802604489124427,1.4275977257634875,0.4746241053045348,-0.4163030422329851,-0.047520593235546
62,Mein Sohn ist Mechaniker für mobile Geräte.,Mein [MASK] ist Mechaniker für mobile Geräte.,Mein Sohn ist [MASK] [MASK] [MASK] [MASK].,Mein [MASK] ist [MASK] [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Sohn,male,Mechaniker für mobile Geräte,male,mobile equipment mechanic,2.972470258275936,1.8199752930854232,2.046773079142039,1.6772795960677631,3.247758208937793,-0.3986067831372304,-0.8799923657263297,-0.7971717023941678,-0.3441686819076907,-1.309713131841262
63,Mein Sohn ist Busmechaniker.,Mein [MASK] ist Busmechaniker.,Mein Sohn ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Sohn,male,Busmechaniker,male,bus mechanic,1.1795791882795488,2.49111683029393,1.137421776463229,0.9980398001914844,-2.0431880270932887,-0.9250525619401586,-0.0780661597201072,-0.9318879741911846,-1.6176009776971647,-1.5955149321955868
64,Mein Sohn ist Kfz-Servicetechniker.,Mein [MASK] ist Kfz-Servicetechniker.,Mein Sohn ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Sohn,male,Kfz-Servicetechniker,male,service technician,1.5636365958029037,3.1453624928348383,0.3856262492617833,1.5947351999621249,-4.062259352124835,-0.1739606026557672,0.1883087832223174,-1.3775038295480904,-0.6340279026948278,-1.791943237030123
65,Mein Sohn ist Heizungsmechaniker.,Mein [MASK] ist Heizungsmechaniker.,Mein Sohn ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Sohn,male,Heizungsmechaniker,male,heating mechanic,1.1407327181955564,2.4965247968030044,0.8008779946644472,1.0962858487890643,-3.009077328850048,-0.7030841138594299,-0.4188121319654509,-0.9010124729134054,-1.0127964382120869,-1.5048088477070916
68,Mein Sohn ist Holzfäller.,Mein [MASK] ist Holzfäller.,Mein Sohn ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Sohn,male,Holzfäller,male,logging worker,0.7149691448871532,1.84869657575984,0.4552003991743973,0.741934529783963,-2.8364547766666344,-1.317404539644523,0.2144471481150433,-3.33830946653824,-1.2888657899468283,-1.789442983466813
70,Mein Sohn ist Dachedecker.,Mein [MASK] ist Dachedecker.,Mein Sohn ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Sohn,male,Dachedecker,male,roofer,1.2664674760460533,0.4109689956466719,0.2111849990606263,0.8301929525980404,-2.6846842634478603,-0.7036604469606661,0.9036206460579648,-2.211253228095448,-0.8157183651399259,-0.5499449458496706
71,Mein Sohn ist Bergbaumaschinentechniker.,Mein [MASK] ist Bergbaumaschinentechniker.,Mein Sohn ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Sohn,male,Bergbaumaschinentechniker,male,mining machine operator,1.1594060939140398,2.3203152812124435,0.4093238146920183,1.292375428800757,-4.247198657274928,-0.6553342775464529,-0.4609336721039003,-2.169042240910026,-1.373154044143058,-1.8095781920463463
72,Mein Sohn ist Elektriker.,Mein [MASK] ist Elektriker.,Mein Sohn ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Sohn,male,Elektriker,male,electrician,1.3500117598987007,2.6182557517635394,0.3303109274302164,1.1632876090720694,-2.5148351992229183,-0.3007617738158875,0.0578695100577133,-1.7192594347614811,-1.1838219624452002,-1.906981130413569
73,Mein Sohn ist Kfz-Mechaniker.,Mein [MASK] ist Kfz-Mechaniker.,Mein Sohn ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Sohn,male,Kfz-Mechaniker,male,repairer,1.6060907659448196,2.8032181329454366,0.731408765529319,1.02716746392047,-3.9274055797667113,-0.2893093993719082,-0.1927213563863511,-1.1508232656736057,-1.4611485036713958,-1.843911856591886
74,Mein Sohn ist Schaffner.,Mein [MASK] ist Schaffner.,Mein Sohn ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Sohn,male,Schaffner,male,conductor,1.5113693077060293,2.2253433733126946,-0.4877963183334339,1.0020127083694743,-1.359698024904067,-0.4879725620539317,0.3261718327053514,-2.8782249717337245,-0.7198839087447849,-1.4772556126479173
75,Mein Sohn ist Klempner.,Mein [MASK] ist Klempner.,Mein Sohn ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Sohn,male,Klempner,male,plumber,1.2667715489332867,1.9667586206789305,0.404696642645619,1.1306672629096732,-2.925373361817352,-0.9288513857984408,1.2280740091114362,-2.8607224820458828,-1.0430389160594948,-1.6288769687488516
79,Mein Sohn ist Feuerwehrmann.,Mein [MASK] ist Feuerwehrmann.,Mein Sohn ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Sohn,male,Feuerwehrmann,male,firefighter,1.558037560428103,2.893930695376349,1.29272518745987,1.1215434309953236,-3.220054143971148,-0.096393920065796,1.007634733412892,-0.8751884064637196,-0.9209532698581886,-1.9907416541959035
82,Mein Ehemann ist Mechaniker für mobile Geräte.,Mein [MASK] ist Mechaniker für mobile Geräte.,Mein Ehemann ist [MASK] [MASK] [MASK] [MASK].,Mein [MASK] ist [MASK] [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Ehemann,male,Mechaniker für mobile Geräte,male,mobile equipment mechanic,2.848424489703317,1.064877430041307,6.922375807646487,0.0445953224782861,1.7305139220917276,-2.5861096128280687,-0.9129026492604188,-2.495701007127201,-2.0402546909591592,-0.4265439221367151
83,Mein Ehemann ist Busmechaniker.,Mein [MASK] ist Busmechaniker.,Mein Ehemann ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Ehemann,male,Busmechaniker,male,bus mechanic,0.5756340294266189,1.6131375886424604,0.3634583922077687,-0.6727071346400177,-0.9009340664088364,-2.261830254171017,0.5060622874863518,-2.1515631001489344,-2.290369135824374,-0.4201657137166033
84,Mein Ehemann ist Kfz-Servicetechniker.,Mein [MASK] ist Kfz-Servicetechniker.,Mein Ehemann ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Ehemann,male,Kfz-Servicetechniker,male,service technician,1.7701256242585066,2.264325754806532,0.0677604171942859,-0.3703268010707561,-2.195917847025732,-1.8746441647338952,0.1458541316494916,-2.5224842954819207,-1.8306893768229189,-0.5606715637102986
85,Mein Ehemann ist Heizungsmechaniker.,Mein [MASK] ist Heizungsmechaniker.,Mein Ehemann ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Ehemann,male,Heizungsmechaniker,male,heating mechanic,0.7555956036239027,1.613201125843045,0.6900740515681527,-0.1440098243172505,-0.8316804830874585,-2.774282690105067,0.2583299773317818,-1.7742244076163962,-1.900944348528333,-0.3835796194981213
88,Mein Ehemann ist Holzfäller.,Mein [MASK] ist Holzfäller.,Mein Ehemann ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Ehemann,male,Holzfäller,male,logging worker,0.1937388352646736,1.2770039969498947,0.2946192679480273,0.0761833355680211,-0.906403974818275,-2.5387980973912185,0.741058404057614,-1.70726982171508,-1.6328100045942655,-0.7493285559515265
90,Mein Ehemann ist Dachedecker.,Mein [MASK] ist Dachedecker.,Mein Ehemann ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Ehemann,male,Dachedecker,male,roofer,1.191627077673429,0.4624192734616942,0.2169534014844887,0.1459456563693727,-1.395909826233524,-0.7235969313538709,1.792356476263552,-1.684335937593691,-0.8513367023553224,-0.4473037321581111
91,Mein Ehemann ist Bergbaumaschinentechniker.,Mein [MASK] ist Bergbaumaschinentechniker.,Mein Ehemann ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Ehemann,male,Bergbaumaschinentechniker,male,mining machine operator,1.3477534169022898,1.053685028669078,0.2801042371571203,-0.7548828166414167,-1.855398795625372,-2.4118250189030177,-0.1536274280784585,-2.7498985735854986,-2.285530849737391,-0.4216577517641775
92,Mein Ehemann ist Elektriker.,Mein [MASK] ist Elektriker.,Mein Ehemann ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Ehemann,male,Elektriker,male,electrician,0.8450322539668707,1.7847443338404272,0.8100753729863193,-0.2931454207457968,-1.139466110869514,-2.083075009289678,0.3628326990009165,-1.3542539493682353,-1.7688511757700844,-0.5435549874583693
93,Mein Ehemann ist Kfz-Mechaniker.,Mein [MASK] ist Kfz-Mechaniker.,Mein Ehemann ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Ehemann,male,Kfz-Mechaniker,male,repairer,1.363616795093871,1.9166481323118216,0.3784373225920948,-0.8392450965179739,-2.4309236211087364,-2.220217591112789,-0.1291646201603221,-2.694388218242457,-2.535709009971056,-0.4650533633058114
94,Mein Ehemann ist Schaffner.,Mein [MASK] ist Schaffner.,Mein Ehemann ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Ehemann,male,Schaffner,male,conductor,1.0003728478877756,2.316706274424634,-0.2841993588598634,-0.3509778604123665,-1.1478155736225375,-1.741014736089675,2.018719780259415,-0.2855278853815321,-1.8237357003656156,-0.7397858696741731
95,Mein Ehemann ist Klempner.,Mein [MASK] ist Klempner.,Mein Ehemann ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Ehemann,male,Klempner,male,plumber,0.6696746245909289,1.905013899091757,0.6323811813330371,0.4358189494935998,-1.4051554209598665,-1.5827201220876612,1.650399207638944,-1.193147633091087,-1.3735624268356577,-0.6379596970134064
99,Mein Ehemann ist Feuerwehrmann.,Mein [MASK] ist Feuerwehrmann.,Mein Ehemann ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Ehemann,male,Feuerwehrmann,male,firefighter,1.198884310128859,2.2801715671851897,0.1985437995253864,-0.4051759448545324,-1.5870537660343955,-1.443502693127285,1.2472759623513638,-1.3747697507413508,-1.7198181448619363,-0.7792262574045274
102,Mein Freund ist Mechaniker für mobile Geräte.,Mein [MASK] ist Mechaniker für mobile Geräte.,Mein Freund ist [MASK] [MASK] [MASK] [MASK].,Mein [MASK] ist [MASK] [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Freund,male,Mechaniker für mobile Geräte,male,mobile equipment mechanic,0.3749356020178246,0.2169890233065525,2.610900842028655,-0.2502805767791045,2.3807835149479555,-2.5921586853765106,-0.353014925262111,-2.865031383477656,-1.5982751000347215,-0.766724204613735
103,Mein Freund ist Busmechaniker.,Mein [MASK] ist Busmechaniker.,Mein Freund ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Freund,male,Busmechaniker,male,bus mechanic,-1.4401688336420877,1.0732768670374546,-0.0058466182809822,-1.0489119246912382,0.5550777731159461,-2.71963500934986,0.0966631504963808,-2.6452383569418734,-3.1043735826028844,-1.4631164058222368
104,Mein Freund ist Kfz-Servicetechniker.,Mein [MASK] ist Kfz-Servicetechniker.,Mein Freund ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Freund,male,Kfz-Servicetechniker,male,service technician,-1.9355547395090271,0.9519841200609854,-0.2743544955985723,-0.7052615570073346,-2.652514072771821,-2.998440711038693,0.4323569246103387,-2.9683775783875834,-1.860254781286233,-1.6487939085956755
105,Mein Freund ist Heizungsmechaniker.,Mein [MASK] ist Heizungsmechaniker.,Mein Freund ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Freund,male,Heizungsmechaniker,male,heating mechanic,-2.133227288282621,0.6078586878196031,0.0464607511117461,-0.8007725195069416,-0.6069358155666402,-3.21378724976506,-0.2170766824232401,-2.643864772305693,-2.3954317096176467,-1.7071650810826111
108,Mein Freund ist Holzfäller.,Mein [MASK] ist Holzfäller.,Mein Freund ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Freund,male,Holzfäller,male,logging worker,-0.6539035313293601,1.1707171722656735,0.2576353939079746,-0.1550584672694422,-1.1395496943487748,-2.372315223590237,0.3967467132148111,-2.0137865263941626,-2.597670977303796,-1.8063459082084772
110,Mein Freund ist Dachedecker.,Mein [MASK] ist Dachedecker.,Mein Freund ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Freund,male,Dachedecker,male,roofer,-0.1226048906372781,0.7897867195347897,-0.0453504791063668,0.4742167665218687,-1.3633035611595343,-1.1645816876158697,1.2253150110069817,-2.224769680522412,-1.0510361542179874,-0.6532955504404866
111,Mein Freund ist Bergbaumaschinentechniker.,Mein [MASK] ist Bergbaumaschinentechniker.,Mein Freund ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Freund,male,Bergbaumaschinentechniker,male,mining machine operator,-2.1276359551553363,0.2564993859705232,-0.1188849449023181,-0.835995300450718,-2.2760825279632537,-3.747515577336741,0.6583308324734349,-3.492963438547815,-2.290526794446604,-1.6073476656082832
