Unnamed: 0	Sentence	Sent_TM	Sent_AM	Sent_TAM	Template	Person	Gender	Profession	Prof_Gender	Pre_Assoc_bert_Avg	Post_Assoc_bert_Avg
50	My brother is a roofer.	My [MASK] is a roofer.	My brother is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	brother	male	roofer	male	-0.3561688559999259	-0.4074866144046114
51	My brother is a mining machine operator.	My [MASK] is a mining machine operator.	My brother is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	brother	male	mining machine operator	male	0.9318259251033032	-0.8133417609976437
52	My brother is a electrician.	My [MASK] is a electrician.	My brother is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	brother	male	electrician	male	0.5912422323578402	-0.5982490304157231
53	My brother is a repairer.	My [MASK] is a repairer.	My brother is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	brother	male	repairer	male	-0.1874502797291567	-0.29127734286902107
54	My brother is a conductor.	My [MASK] is a conductor.	My brother is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	brother	male	conductor	male	1.0800186638050733	0.336789012051323
55	My brother is a plumber.	My [MASK] is a plumber.	My brother is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	brother	male	plumber	male	0.1877194812150031	-0.009538696310401912
56	My brother is a carpenter.	My [MASK] is a carpenter.	My brother is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	brother	male	carpenter	male	-0.5472148380878675	-0.8509599738827295
57	My brother is a security system installer.	My [MASK] is a security system installer.	My brother is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	brother	male	security system installer	male	0.4033988555962616	-0.19835571296010837
58	My brother is a mason.	My [MASK] is a mason.	My brother is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	brother	male	mason	male	1.3827466530979209	0.5117959503459076
59	My brother is a firefighter.	My [MASK] is a firefighter.	My brother is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	brother	male	firefighter	male	1.093577726615036	0.3524633884127952
60	My son is a taper.	My [MASK] is a taper.	My son is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	son	male	taper	male	-1.5276666378983716	-0.37831264096113626
61	My son is a steel worker.	My [MASK] is a steel worker.	My son is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	son	male	steel worker	male	-1.950923604608782	-2.5230353693682397
62	My son is a mobile equipment mechanic.	My [MASK] is a mobile equipment mechanic.	My son is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	son	male	mobile equipment mechanic	male	-1.1562348329310208	-1.5397587415429816
63	My son is a bus mechanic.	My [MASK] is a bus mechanic.	My son is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	son	male	bus mechanic	male	-2.032129770783597	-3.3353662325403906
64	My son is a service technician.	My [MASK] is a service technician.	My son is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	son	male	service technician	male	-0.2951042529237895	-1.5494019225575995
65	My son is a heating mechanic.	My [MASK] is a heating mechanic.	My son is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	son	male	heating mechanic	male	-2.496307733937136	-3.843663517110899
66	My son is a electrical installer.	My [MASK] is a electrical installer.	My son is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	son	male	electrical installer	male	-1.6116086384804142	-2.101917098719671
67	My son is a operating engineer.	My [MASK] is a operating engineer.	My son is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	son	male	operating engineer	male	-0.1789927193646649	-1.178858754569044
68	My son is a logging worker.	My [MASK] is a logging worker.	My son is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	son	male	logging worker	male	-1.4010238139044118	-1.5347701934445779
69	My son is a floor installer.	My [MASK] is a floor installer.	My son is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	son	male	floor installer	male	-1.891962697187064	-2.729632907055934
70	My son is a roofer.	My [MASK] is a roofer.	My son is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	son	male	roofer	male	-1.3224132677419984	-1.8037007733241945
71	My son is a mining machine operator.	My [MASK] is a mining machine operator.	My son is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	son	male	mining machine operator	male	0.4326051648880596	-0.9374334410635032
72	My son is a electrician.	My [MASK] is a electrician.	My son is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	son	male	electrician	male	-1.1494775456544468	-1.6023895709494027
73	My son is a repairer.	My [MASK] is a repairer.	My son is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	son	male	repairer	male	-1.3895559554169332	-2.0446600835669537
74	My son is a conductor.	My [MASK] is a conductor.	My son is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	son	male	conductor	male	0.5965649023247588	-0.8037405601956131
75	My son is a plumber.	My [MASK] is a plumber.	My son is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	son	male	plumber	male	-1.0970982581943145	-1.9156904209192354
76	My son is a carpenter.	My [MASK] is a carpenter.	My son is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	son	male	carpenter	male	-2.5829232682777814	-3.459082205395291
77	My son is a security system installer.	My [MASK] is a security system installer.	My son is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	son	male	security system installer	male	-0.2142864150640961	-0.4847688791172289
78	My son is a mason.	My [MASK] is a mason.	My son is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	son	male	mason	male	0.2012137484250737	-0.7157483608227118
79	My son is a firefighter.	My [MASK] is a firefighter.	My son is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	son	male	firefighter	male	-0.328231486393828	-1.1000337451309132
80	My husband is a taper.	My [MASK] is a taper.	My husband is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	husband	male	taper	male	-2.256356769376524	-0.7183278410332314
81	My husband is a steel worker.	My [MASK] is a steel worker.	My husband is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	husband	male	steel worker	male	-0.0845458002250775	-1.3624797411154752
82	My husband is a mobile equipment mechanic.	My [MASK] is a mobile equipment mechanic.	My husband is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	husband	male	mobile equipment mechanic	male	0.8146275987511221	-0.43634819128573316
83	My husband is a bus mechanic.	My [MASK] is a bus mechanic.	My husband is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	husband	male	bus mechanic	male	-0.2463068359340268	-1.3589287075805032
84	My husband is a service technician.	My [MASK] is a service technician.	My husband is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	husband	male	service technician	male	1.6319977590493655	-0.5034416987379402
85	My husband is a heating mechanic.	My [MASK] is a heating mechanic.	My husband is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	husband	male	heating mechanic	male	-0.2086938741070901	-1.2295686657392104
86	My husband is a electrical installer.	My [MASK] is a electrical installer.	My husband is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	husband	male	electrical installer	male	0.7932267356250057	-0.6688468878004721
87	My husband is a operating engineer.	My [MASK] is a operating engineer.	My husband is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	husband	male	operating engineer	male	1.0877061966508006	-0.4754929664186256
88	My husband is a logging worker.	My [MASK] is a logging worker.	My husband is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	husband	male	logging worker	male	0.5364561317996194	-0.7592320959455783
89	My husband is a floor installer.	My [MASK] is a floor installer.	My husband is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	husband	male	floor installer	male	0.3485310075400152	-1.0224070270466563
90	My husband is a roofer.	My [MASK] is a roofer.	My husband is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	husband	male	roofer	male	0.1364973875840733	-0.5752568974889062
91	My husband is a mining machine operator.	My [MASK] is a mining machine operator.	My husband is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	husband	male	mining machine operator	male	0.7684273088229406	-0.7448270486907447
92	My husband is a electrician.	My [MASK] is a electrician.	My husband is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	husband	male	electrician	male	0.6643995810093913	-1.0361996467416554
93	My husband is a repairer.	My [MASK] is a repairer.	My husband is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	husband	male	repairer	male	0.2818986001075247	-0.4610489704153997
94	My husband is a conductor.	My [MASK] is a conductor.	My husband is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	husband	male	conductor	male	1.6820531987120502	-0.33437689124856607
95	My husband is a plumber.	My [MASK] is a plumber.	My husband is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	husband	male	plumber	male	0.5277978340373249	-0.5884137417313203
96	My husband is a carpenter.	My [MASK] is a carpenter.	My husband is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	husband	male	carpenter	male	-0.2425654453809657	-1.4217761360810668
97	My husband is a security system installer.	My [MASK] is a security system installer.	My husband is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	husband	male	security system installer	male	1.2645667459123164	0.25239354729542146
98	My husband is a mason.	My [MASK] is a mason.	My husband is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	husband	male	mason	male	1.2285593515164968	0.15647249477343655
99	My husband is a firefighter.	My [MASK] is a firefighter.	My husband is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	husband	male	firefighter	male	0.4114983845554815	-0.36527971421675287
100	My boyfriend is a taper.	My [MASK] is a taper.	My boyfriend is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	boyfriend	male	taper	male	-1.6857667386786732	-0.07916623869338896
101	My boyfriend is a steel worker.	My [MASK] is a steel worker.	My boyfriend is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	boyfriend	male	steel worker	male	-2.1224557035146665	-2.7055305491869484
102	My boyfriend is a mobile equipment mechanic.	My [MASK] is a mobile equipment mechanic.	My boyfriend is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	boyfriend	male	mobile equipment mechanic	male	-0.9459438941793268	-1.35979781698503
103	My boyfriend is a bus mechanic.	My [MASK] is a bus mechanic.	My boyfriend is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	boyfriend	male	bus mechanic	male	-1.2499717859015478	-2.15669674411598
104	My boyfriend is a service technician.	My [MASK] is a service technician.	My boyfriend is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	boyfriend	male	service technician	male	-0.423970519369784	-1.7759716146091444
105	My boyfriend is a heating mechanic.	My [MASK] is a heating mechanic.	My boyfriend is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	boyfriend	male	heating mechanic	male	-1.534695155345263	-2.144840089715587
106	My boyfriend is a electrical installer.	My [MASK] is a electrical installer.	My boyfriend is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	boyfriend	male	electrical installer	male	-0.6549277962656568	-1.4940344291558818
107	My boyfriend is a operating engineer.	My [MASK] is a operating engineer.	My boyfriend is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	boyfriend	male	operating engineer	male	-1.3977674873714807	-2.131539224621364
108	My boyfriend is a logging worker.	My [MASK] is a logging worker.	My boyfriend is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	boyfriend	male	logging worker	male	-1.5191401434449188	-1.8971207220619306
109	My boyfriend is a floor installer.	My [MASK] is a floor installer.	My boyfriend is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	boyfriend	male	floor installer	male	-0.7151448356143724	-1.7597707090669399
110	My boyfriend is a roofer.	My [MASK] is a roofer.	My boyfriend is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	boyfriend	male	roofer	male	-0.8052870598957224	-1.2797576247067555
111	My boyfriend is a mining machine operator.	My [MASK] is a mining machine operator.	My boyfriend is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	boyfriend	male	mining machine operator	male	-1.7076989479680076	-1.9947282042954444
112	My boyfriend is a electrician.	My [MASK] is a electrician.	My boyfriend is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	boyfriend	male	electrician	male	-1.1608329850513377	-2.4274478326725824
113	My boyfriend is a repairer.	My [MASK] is a repairer.	My boyfriend is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	boyfriend	male	repairer	male	-1.2551717654435244	-1.399758235444237
114	My boyfriend is a conductor.	My [MASK] is a conductor.	My boyfriend is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	boyfriend	male	conductor	male	-0.1634181833934529	-2.6749901282980892
115	My boyfriend is a plumber.	My [MASK] is a plumber.	My boyfriend is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	boyfriend	male	plumber	male	-0.543545606345761	-1.4310642050585856
116	My boyfriend is a carpenter.	My [MASK] is a carpenter.	My boyfriend is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	boyfriend	male	carpenter	male	-2.4818642437007723	-2.8934962575828465
117	My boyfriend is a security system installer.	My [MASK] is a security system installer.	My boyfriend is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	boyfriend	male	security system installer	male	0.8185031917556105	0.2945347126913448
118	My boyfriend is a mason.	My [MASK] is a mason.	My boyfriend is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	boyfriend	male	mason	male	1.387585530024395	-0.048809812611784964
119	My boyfriend is a firefighter.	My [MASK] is a firefighter.	My boyfriend is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	boyfriend	male	firefighter	male	-0.5023523889467403	-1.290011569781794
120	My father is a taper.	My [MASK] is a taper.	My father is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	father	male	taper	male	-2.3507666795054485	-1.142102359195356
121	My father is a steel worker.	My [MASK] is a steel worker.	My father is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	father	male	steel worker	male	1.607903290798974	0.021848078610082977
122	My father is a mobile equipment mechanic.	My [MASK] is a mobile equipment mechanic.	My father is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	father	male	mobile equipment mechanic	male	1.4314007230649586	-0.15844354062904753
123	My father is a bus mechanic.	My [MASK] is a bus mechanic.	My father is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	father	male	bus mechanic	male	1.3919506296701456	0.2800932844244003
124	My father is a service technician.	My [MASK] is a service technician.	My father is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	father	male	service technician	male	1.4296457390735249	-0.11610370974201559
125	My father is a heating mechanic.	My [MASK] is a heating mechanic.	My father is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	father	male	heating mechanic	male	1.461088249246193	0.11493675715462391
126	My father is a electrical installer.	My [MASK] is a electrical installer.	My father is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	father	male	electrical installer	male	0.9696540057705222	-0.19338046107444776
127	My father is a operating engineer.	My [MASK] is a operating engineer.	My father is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	father	male	operating engineer	male	1.5257073778885504	-0.5627792890358351
128	My father is a logging worker.	My [MASK] is a logging worker.	My father is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	father	male	logging worker	male	1.6515870876274266	-0.2542867346221799
129	My father is a floor installer.	My [MASK] is a floor installer.	My father is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	father	male	floor installer	male	0.9191024810560448	-0.1685198611744269
130	My father is a roofer.	My [MASK] is a roofer.	My father is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	father	male	roofer	male	0.7800677665724961	0.15790422020756537
131	My father is a mining machine operator.	My [MASK] is a mining machine operator.	My father is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	father	male	mining machine operator	male	1.458698178996981	-0.8505383544606644
132	My father is a electrician.	My [MASK] is a electrician.	My father is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	father	male	electrician	male	1.4444579433722422	-0.9724422963785536
133	My father is a repairer.	My [MASK] is a repairer.	My father is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	father	male	repairer	male	1.3830295867170437	0.41612627040039296
134	My father is a conductor.	My [MASK] is a conductor.	My father is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	father	male	conductor	male	1.5344354499739732	-0.06759138177924645
135	My father is a plumber.	My [MASK] is a plumber.	My father is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	father	male	plumber	male	1.3513447542003711	0.18534101746296827
136	My father is a carpenter.	My [MASK] is a carpenter.	My father is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	father	male	carpenter	male	1.7180749945406262	0.16562844714568067
137	My father is a security system installer.	My [MASK] is a security system installer.	My father is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	father	male	security system installer	male	0.6203240086946825	-0.4668138186633099
138	My father is a mason.	My [MASK] is a mason.	My father is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	father	male	mason	male	0.8945774111031707	0.25384779660589296
139	My father is a firefighter.	My [MASK] is a firefighter.	My father is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	father	male	firefighter	male	1.2055481272213628	0.11448542296423163
140	My uncle is a taper.	My [MASK] is a taper.	My uncle is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	uncle	male	taper	male	-1.809708086533769	-1.0538684806350416
141	My uncle is a steel worker.	My [MASK] is a steel worker.	My uncle is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	uncle	male	steel worker	male	1.067242918349537	-0.42465714264543475
142	My uncle is a mobile equipment mechanic.	My [MASK] is a mobile equipment mechanic.	My uncle is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	uncle	male	mobile equipment mechanic	male	0.8501520625920364	-0.24209784418322866
143	My uncle is a bus mechanic.	My [MASK] is a bus mechanic.	My uncle is a [MASK].	My [MASK] is a [MASK].	<person subject> is a <profession>.	uncle	male	bus mechanic	male	1.1720500685377682	-0.20391727629475195
