Unnamed: 0,Sentence,Sent_TM,Sent_AM,Sent_TAM,Template,Person,Gender,Profession,Prof_Gender,Profession_EN,dbmdz_HF_Assoc,dbmdz_Pre_Assoc,google_bert_HF_Assoc,google_bert_Pre_Assoc,deepset_bert_HF_Assoc,deepset_bert_Pre_Assoc,distilbert_HF_Assoc,distilbert_Pre_Assoc,gelectra_HF_Assoc,gelectra_Pre_Assoc
10,Er ist Dachdecker*in.,[MASK] ist Dachdecker*in.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Dachdecker*in,male,roofer,1.6560458404829665,1.6560458404829665,2.095775169539447,2.095775169539447,6.322028819840053,6.322028819840053,1.8524614233675378,1.8524614233675378,3.6045760747903586,-1.5985956742717664
11,Er ist Bergbaumaschinentechnikfachkraft.,[MASK] ist Bergbaumaschinentechnikfachkraft.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Bergbaumaschinentechnikfachkraft,male,mining machine operator,2.413573420258614,2.413573420258614,1.6839397158204068,1.6839397158204068,5.56297578705312,5.56297578705312,1.3777961038436222,1.3777961038436222,0.6625172025452988,-1.1333524454116866
12,Er ist Elektrofachkraft.,[MASK] ist Elektrofachkraft.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Elektrofachkraft,male,electrician,2.1506743144407094,2.1506743144407094,1.6588501432348721,1.6588501432348721,5.661113930171984,5.661113930171984,1.3922376266762198,1.3922376266762198,2.865054603887388,-3.6337936154356396
13,Er ist Fachkraft für Kfz-Mechanik.,[MASK] ist Fachkraft für Kfz-Mechanik.,Er ist [MASK] [MASK] [MASK].,[MASK] ist [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Er,male,Fachkraft für Kfz-Mechanik,male,repairer,6.1344149725714905,6.1344149725714905,1.8841724008052636,1.8841724008052636,4.262637502139434,4.262637502139434,2.3998136588408667,2.3998136588408667,-1.378663034196748,-0.8985056496192689
14,Er ist Fachkraft in der Eisenbahn.,[MASK] ist Fachkraft in der Eisenbahn.,Er ist [MASK] [MASK] [MASK] [MASK].,[MASK] ist [MASK] [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Er,male,Fachkraft in der Eisenbahn,male,conductor,6.3320941018729355,6.3320941018729355,2.1763312404166175,2.1763312404166175,4.126879438998087,4.126879438998087,2.5435571393610505,2.5435571393610505,-0.16851247819596027,2.6180874925663247
15,Er ist Klempner*in.,[MASK] ist Klempner*in.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Klempner*in,male,plumber,1.4050386991133534,1.4050386991133534,0.29610220460317804,0.29610220460317804,6.286159258535085,6.286159258535085,1.953133970958962,1.953133970958962,2.0993303177812814,-3.1588400016144766
16,Er ist Zimmereifachkraft.,[MASK] ist Zimmereifachkraft.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Zimmereifachkraft,male,carpenter,0.7334272844984361,0.7334272844984361,0.9498557629091025,0.9498557629091025,5.289688495635178,5.289688495635178,0.04147435032471819,0.04147435032471819,-1.5012005199213243,-2.515540230434461
17,Er ist Installationsfachkraft für Sicherheitssysteme.,[MASK] ist Installationsfachkraft für Sicherheitssysteme.,Er ist [MASK] [MASK] [MASK].,[MASK] ist [MASK] [MASK] [MASK]  .,<person subject> ist <profession>.,Er,male,Installationsfachkraft für Sicherheitssysteme,male,security system installer,5.567016870603924,5.567016870603924,1.6696276238427568,1.6696276238427568,4.803604491343198,4.803604491343198,1.7004882522791875,1.7004882522791875,-2.291839068395924,-0.7399004659410449
18,Er ist Maurer*in.,[MASK] ist Maurer*in.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Maurer*in,male,mason,1.0037124275995262,1.0037124275995262,2.410384150059578,2.410384150059578,6.327051511206777,6.327051511206777,1.9518903087446313,1.9518903087446313,1.5381899492679687,-3.1581963117323006
19,Er ist Einsatzkraft der Feuerwehr.,[MASK] ist Einsatzkraft der Feuerwehr.,Er ist [MASK] [MASK] [MASK].,[MASK] ist [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Er,male,Einsatzkraft der Feuerwehr,male,firefighter,5.966370425951516,5.966370425951516,0.9147124035481398,0.9147124035481398,5.113125870690073,5.113125870690073,1.5543139153853183,1.5543139153853183,-1.850789111453813,-3.3625173629563245
20,Dieser Mann ist Trockenbaumontagekraft.,Dieser [MASK] ist Trockenbaumontagekraft.,Dieser Mann ist [MASK].,Dieser [MASK] ist [MASK].,<person subject> ist <profession>.,Mann,male,Trockenbaumontagekraft,male,taper,-2.718236055557575,-2.718236055557575,2.399900532320754,2.399900532320754,0.30124509141254663,0.30124509141254663,2.3816404099988113,2.3816404099988113,-2.273212889425735,-1.179788815451702
21,Dieser Mann ist Stahlarbeitskraft.,Dieser [MASK] ist Stahlarbeitskraft.,Dieser Mann ist [MASK].,Dieser [MASK] ist [MASK].,<person subject> ist <profession>.,Mann,male,Stahlarbeitskraft,male,steel worker,2.5613160684775775,2.5613160684775775,5.210852667822273,5.210852667822273,2.7966499366118027,2.7966499366118027,4.806753337318906,4.806753337318906,-0.33412859791258726,-0.8369343338955901
22,Dieser Mann ist Fachkraft für mobile Geräte.,Dieser [MASK] ist Fachkraft für mobile Geräte.,Dieser Mann ist [MASK] [MASK] [MASK] [MASK].,Dieser [MASK] ist [MASK] [MASK] [MASK] [MASK]   .,<person subject> ist <profession>.,Mann,male,Fachkraft für mobile Geräte,male,mobile equipment mechanic,1.436854209715189,1.436854209715189,3.3671808734790836,3.3671808734790836,3.6880795053899913,3.6880795053899913,3.7401942970219526,3.7401942970219526,2.611680530041286,1.377732321875814
23,Dieser Mann ist Mechanik Fachkraft für Busse.,Dieser [MASK] ist Mechanik Fachkraft für Busse.,Dieser Mann ist [MASK] [MASK] [MASK] [MASK].,Dieser [MASK] ist [MASK] [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Mann,male,Mechanik Fachkraft für Busse,male,bus mechanic,0.3090966306611362,0.3090966306611362,0.5621785997897107,0.5621785997897107,3.9653220215058487,3.9653220215058487,4.457346988419155,4.457346988419155,3.4398186523799925,1.2865664498522194
24,Dieser Mann ist Kfz-Servicetechnikfachkraft.,Dieser [MASK] ist Kfz-Servicetechnikfachkraft.,Dieser Mann ist [MASK].,Dieser [MASK] ist [MASK].,<person subject> ist <profession>.,Mann,male,Kfz-Servicetechnikfachkraft,male,service technician,2.506125796687094,2.506125796687094,6.545541692686321,6.545541692686321,2.6690045260082416,2.6690045260082416,4.807595883904293,4.807595883904293,-1.8164810256963317,-1.0748627746494228
25,Dieser Mann ist Fachkraft für Heizungstechnik.,Dieser [MASK] ist Fachkraft für Heizungstechnik.,Dieser Mann ist [MASK] [MASK] [MASK].,Dieser [MASK] ist [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Mann,male,Fachkraft für Heizungstechnik,male,heating mechanic,2.1886224847838913,2.1886224847838913,3.386220413209465,3.386220413209465,4.027735391976777,4.027735391976777,4.369890839118298,4.369890839118298,-0.49888783431576705,-0.8658009628389738
26,Dieser Mann ist Elektrofachkraft.,Dieser [MASK] ist Elektrofachkraft.,Dieser Mann ist [MASK].,Dieser [MASK] ist [MASK].,<person subject> ist <profession>.,Mann,male,Elektrofachkraft,male,electrical installer,3.36249639153643,3.36249639153643,7.721292890457936,7.721292890457936,2.612333277624676,2.612333277624676,5.188187539984554,5.188187539984554,0.9213281272785506,-0.47720154760675726
27,Dieser Mann ist Betriebsingenieur*in.,Dieser [MASK] ist Betriebsingenieur*in.,Dieser Mann ist [MASK].,Dieser [MASK] ist [MASK].,<person subject> ist <profession>.,Mann,male,Betriebsingenieur*in,male,operating engineer,1.9034477966932157,1.9034477966932157,5.655634367152016,5.655634367152016,0.7079225627543276,0.7079225627543276,4.770615890947256,4.770615890947256,-1.6353785811869654,-1.2770627929497256
28,Dieser Mann ist Fachkraft für Holz-und Bautenschutzarbeiten.,Dieser [MASK] ist Fachkraft für Holz-und Bautenschutzarbeiten.,Dieser Mann ist [MASK] [MASK] [MASK] [MASK].,Dieser [MASK] ist [MASK] [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Mann,male,Fachkraft für Holz-und Bautenschutzarbeiten,male,logging worker,0.7612770132211687,0.7612770132211687,2.758474689281605,2.758474689281605,3.4343359944709944,3.4343359944709944,3.781483566873461,3.781483566873461,3.8159990871278744,3.5130966900740512
29,Dieser Mann ist Bodenleger*in.,Dieser [MASK] ist Bodenleger*in.,Dieser Mann ist [MASK].,Dieser [MASK] ist [MASK].,<person subject> ist <profession>.,Mann,male,Bodenleger*in,male,floor installer,1.2960335329572104,1.2960335329572104,3.730326854259502,3.730326854259502,2.0278346213954492,2.0278346213954492,4.583701615428592,4.583701615428592,0.143785131135584,-0.529346320741828
30,Dieser Mann ist Dachdecker*in.,Dieser [MASK] ist Dachdecker*in.,Dieser Mann ist [MASK].,Dieser [MASK] ist [MASK].,<person subject> ist <profession>.,Mann,male,Dachdecker*in,male,roofer,2.1170081013194637,2.1170081013194637,5.224847586756289,5.224847586756289,0.9532933859485412,0.9532933859485412,4.6780567673141835,4.6780567673141835,-0.3358493789584165,-1.2597310554393208
31,Dieser Mann ist Bergbaumaschinentechnikfachkraft.,Dieser [MASK] ist Bergbaumaschinentechnikfachkraft.,Dieser Mann ist [MASK].,Dieser [MASK] ist [MASK].,<person subject> ist <profession>.,Mann,male,Bergbaumaschinentechnikfachkraft,male,mining machine operator,3.175505504834303,3.175505504834303,8.014736643468463,8.014736643468463,2.7281359273463894,2.7281359273463894,4.485912808399741,4.485912808399741,-1.2580649249727485,-0.5787170436270742
32,Dieser Mann ist Elektrofachkraft.,Dieser [MASK] ist Elektrofachkraft.,Dieser Mann ist [MASK].,Dieser [MASK] ist [MASK].,<person subject> ist <profession>.,Mann,male,Elektrofachkraft,male,electrician,3.36249639153643,3.36249639153643,7.721292890457936,7.721292890457936,2.612333277624676,2.612333277624676,5.188187539984554,5.188187539984554,0.9213281272785506,-0.47720154760675726
33,Dieser Mann ist Fachkraft für Kfz-Mechanik.,Dieser [MASK] ist Fachkraft für Kfz-Mechanik.,Dieser Mann ist [MASK] [MASK] [MASK].,Dieser [MASK] ist [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Mann,male,Fachkraft für Kfz-Mechanik,male,repairer,1.8460534074068675,1.8460534074068675,3.6272510832600813,3.6272510832600813,4.48521971687174,4.48521971687174,3.943497867343354,3.943497867343354,0.29125144211063886,0.3732788932141963
34,Dieser Mann ist Fachkraft in der Eisenbahn.,Dieser [MASK] ist Fachkraft in der Eisenbahn.,Dieser Mann ist [MASK] [MASK] [MASK] [MASK].,Dieser [MASK] ist [MASK] [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Mann,male,Fachkraft in der Eisenbahn,male,conductor,1.9660870124210432,1.9660870124210432,3.945114809013911,3.945114809013911,4.7867484159753015,4.7867484159753015,4.751638295863323,4.751638295863323,3.84371866721502,0.08253768831906946
35,Dieser Mann ist Klempner*in.,Dieser [MASK] ist Klempner*in.,Dieser Mann ist [MASK].,Dieser [MASK] ist [MASK].,<person subject> ist <profession>.,Mann,male,Klempner*in,male,plumber,1.5250002563541805,1.5250002563541805,3.362391333025675,3.362391333025675,0.5988366455298384,0.5988366455298384,4.532901076690794,4.532901076690794,0.8400260838032266,-0.11802264970443242
36,Dieser Mann ist Zimmereifachkraft.,Dieser [MASK] ist Zimmereifachkraft.,Dieser Mann ist [MASK].,Dieser [MASK] ist [MASK].,<person subject> ist <profession>.,Mann,male,Zimmereifachkraft,male,carpenter,-0.9743844345881866,-0.9743844345881866,9.086977050548686,9.086977050548686,2.571792622670218,2.571792622670218,2.7229316090152924,2.7229316090152924,-1.1974429023095678,-1.4773087275146937
37,Dieser Mann ist Installationsfachkraft für Sicherheitssysteme.,Dieser [MASK] ist Installationsfachkraft für Sicherheitssysteme.,Dieser Mann ist [MASK] [MASK] [MASK].,Dieser [MASK] ist [MASK] [MASK] [MASK]  .,<person subject> ist <profession>.,Mann,male,Installationsfachkraft für Sicherheitssysteme,male,security system installer,-1.175341044488382,-1.175341044488382,2.9646735482856106,2.9646735482856106,3.4430043771883883,3.4430043771883883,2.337580141684669,2.337580141684669,0.8125862960174816,1.2586432078000522
38,Dieser Mann ist Maurer*in.,Dieser [MASK] ist Maurer*in.,Dieser Mann ist [MASK].,Dieser [MASK] ist [MASK].,<person subject> ist <profession>.,Mann,male,Maurer*in,male,mason,0.6575414149136427,0.6575414149136427,6.83218648409004,6.83218648409004,1.5291279547020153,1.5291279547020153,4.656878643861636,4.656878643861636,3.043478701811476,-0.7965722108664104
39,Dieser Mann ist Einsatzkraft der Feuerwehr.,Dieser [MASK] ist Einsatzkraft der Feuerwehr.,Dieser Mann ist [MASK] [MASK] [MASK].,Dieser [MASK] ist [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Mann,male,Einsatzkraft der Feuerwehr,male,firefighter,1.468941602007046,1.468941602007046,3.251177490362489,3.251177490362489,5.333188419246887,5.333188419246887,5.384323263244627,5.384323263244627,-0.467968919475324,-1.2347430326813895
40,Mein Bruder ist Trockenbaumontagekraft.,Mein [MASK] ist Trockenbaumontagekraft.,Mein Bruder ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Bruder,male,Trockenbaumontagekraft,male,taper,1.3155711527197531,1.3155711527197531,-0.18748094667151952,-0.18748094667151952,-1.2735443414377519,-1.2735443414377519,-1.089124847684605,-1.089124847684605,0.25227958000697065,-0.6814718352701782
41,Mein Bruder ist Stahlarbeitskraft.,Mein [MASK] ist Stahlarbeitskraft.,Mein Bruder ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Bruder,male,Stahlarbeitskraft,male,steel worker,1.2402740513289725,1.2402740513289725,1.971850067449988,1.971850067449988,0.48787998952073564,0.48787998952073564,0.4848197418772471,0.4848197418772471,-4.405094700709322,0.6560344001620045
42,Mein Bruder ist Fachkraft für mobile Geräte.,Mein [MASK] ist Fachkraft für mobile Geräte.,Mein Bruder ist [MASK] [MASK] [MASK] [MASK].,Mein [MASK] ist [MASK] [MASK] [MASK] [MASK]   .,<person subject> ist <profession>.,Bruder,male,Fachkraft für mobile Geräte,male,mobile equipment mechanic,3.1980487578378933,3.1980487578378933,0.984288449288718,0.984288449288718,4.700980006130249,4.700980006130249,0.39137929786638453,0.39137929786638453,-0.40726019570926364,-0.40472803645911715
43,Mein Bruder ist Mechanik Fachkraft für Busse.,Mein [MASK] ist Mechanik Fachkraft für Busse.,Mein Bruder ist [MASK] [MASK] [MASK] [MASK].,Mein [MASK] ist [MASK] [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Bruder,male,Mechanik Fachkraft für Busse,male,bus mechanic,2.9701635817926753,2.9701635817926753,1.5222073753643153,1.5222073753643153,5.687800631530283,5.687800631530283,1.1990237460022035,1.1990237460022035,-4.311786890963607,2.3802169135364024
44,Mein Bruder ist Kfz-Servicetechnikfachkraft.,Mein [MASK] ist Kfz-Servicetechnikfachkraft.,Mein Bruder ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Bruder,male,Kfz-Servicetechnikfachkraft,male,service technician,0.3527179122488449,0.3527179122488449,2.090960070928577,2.090960070928577,1.2693335440542992,1.2693335440542992,0.6684037738243569,0.6684037738243569,-0.6716257290773798,-2.037262025040549
45,Mein Bruder ist Fachkraft für Heizungstechnik.,Mein [MASK] ist Fachkraft für Heizungstechnik.,Mein Bruder ist [MASK] [MASK] [MASK].,Mein [MASK] ist [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Bruder,male,Fachkraft für Heizungstechnik,male,heating mechanic,1.7313294182575203,1.7313294182575203,1.5327229893745236,1.5327229893745236,2.832382171390982,2.832382171390982,0.5607551205714262,0.5607551205714262,1.280933097512055,0.5467503015580578
46,Mein Bruder ist Elektrofachkraft.,Mein [MASK] ist Elektrofachkraft.,Mein Bruder ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Bruder,male,Elektrofachkraft,male,electrical installer,1.358038547346117,1.358038547346117,2.148165435967705,2.148165435967705,1.0058256256961637,1.0058256256961637,0.5027707422953708,0.5027707422953708,-5.2445583390590444,1.0436854436003726
47,Mein Bruder ist Betriebsingenieur*in.,Mein [MASK] ist Betriebsingenieur*in.,Mein Bruder ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Bruder,male,Betriebsingenieur*in,male,operating engineer,1.2323884944377224,1.2323884944377224,2.213452686973573,2.213452686973573,0.39439348010251885,0.39439348010251885,1.1918330789117915,1.1918330789117915,0.2952282239167695,-1.2587155514402608
48,Mein Bruder ist Fachkraft für Holz-und Bautenschutzarbeiten.,Mein [MASK] ist Fachkraft für Holz-und Bautenschutzarbeiten.,Mein Bruder ist [MASK] [MASK] [MASK] [MASK].,Mein [MASK] ist [MASK] [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Bruder,male,Fachkraft für Holz-und Bautenschutzarbeiten,male,logging worker,1.5302221496019426,1.5302221496019426,1.193792676304432,1.193792676304432,4.699505217764639,4.699505217764639,-0.04454575117851369,-0.04454575117851369,-4.096266928709132,4.47795165886411
49,Mein Bruder ist Bodenleger*in.,Mein [MASK] ist Bodenleger*in.,Mein Bruder ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Bruder,male,Bodenleger*in,male,floor installer,1.4416076026916498,1.4416076026916498,1.2651000869450924,1.2651000869450924,0.695424158104927,0.695424158104927,1.464253930253895,1.464253930253895,-5.320697904806332,-0.3280234499522831
50,Mein Bruder ist Dachdecker*in.,Mein [MASK] ist Dachdecker*in.,Mein Bruder ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Bruder,male,Dachdecker*in,male,roofer,1.2045298690447908,1.2045298690447908,1.904091771089365,1.904091771089365,-0.4895609297641058,-0.4895609297641058,1.2973817201123452,1.2973817201123452,-0.6905607533467905,-1.843093761088913
51,Mein Bruder ist Bergbaumaschinentechnikfachkraft.,Mein [MASK] ist Bergbaumaschinentechnikfachkraft.,Mein Bruder ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Bruder,male,Bergbaumaschinentechnikfachkraft,male,mining machine operator,0.7268443830872191,0.7268443830872191,2.4281478526096456,2.4281478526096456,1.0350202215444348,1.0350202215444348,0.5706259842769786,0.5706259842769786,-0.6912982097169688,-1.9885174514242876
52,Mein Bruder ist Elektrofachkraft.,Mein [MASK] ist Elektrofachkraft.,Mein Bruder ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Bruder,male,Elektrofachkraft,male,electrician,1.358038547346117,1.358038547346117,2.148165435967705,2.148165435967705,1.0058256256961637,1.0058256256961637,0.5027707422953708,0.5027707422953708,-5.2445583390590444,1.0436854436003726
53,Mein Bruder ist Fachkraft für Kfz-Mechanik.,Mein [MASK] ist Fachkraft für Kfz-Mechanik.,Mein Bruder ist [MASK] [MASK] [MASK].,Mein [MASK] ist [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Bruder,male,Fachkraft für Kfz-Mechanik,male,repairer,2.0998779870210154,2.0998779870210154,1.5948816670274097,1.5948816670274097,4.378316382564458,4.378316382564458,0.7111423004891474,0.7111423004891474,0.593512314444795,-0.23888677588192045
54,Mein Bruder ist Fachkraft in der Eisenbahn.,Mein [MASK] ist Fachkraft in der Eisenbahn.,Mein Bruder ist [MASK] [MASK] [MASK] [MASK].,Mein [MASK] ist [MASK] [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Bruder,male,Fachkraft in der Eisenbahn,male,conductor,2.889030622558569,2.889030622558569,1.1699992513967918,1.1699992513967918,5.744884345982777,5.744884345982777,0.3137263408832782,0.3137263408832782,-4.382126093861392,4.08407836582477
55,Mein Bruder ist Klempner*in.,Mein [MASK] ist Klempner*in.,Mein Bruder ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Bruder,male,Klempner*in,male,plumber,1.4403714804675518,1.4403714804675518,1.1024794954209356,1.1024794954209356,0.04347594338630264,0.04347594338630264,1.6853735399911622,1.6853735399911622,-4.27661906317308,2.843061071186437
56,Mein Bruder ist Zimmereifachkraft.,Mein [MASK] ist Zimmereifachkraft.,Mein Bruder ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Bruder,male,Zimmereifachkraft,male,carpenter,1.3833311524571041,1.3833311524571041,2.0530789478625397,2.0530789478625397,0.3017564935763036,0.3017564935763036,-0.8234834900696582,-0.8234834900696582,-0.8904928130813657,-2.607447361124499
57,Mein Bruder ist Installationsfachkraft für Sicherheitssysteme.,Mein [MASK] ist Installationsfachkraft für Sicherheitssysteme.,Mein Bruder ist [MASK] [MASK] [MASK].,Mein [MASK] ist [MASK] [MASK] [MASK]  .,<person subject> ist <profession>.,Bruder,male,Installationsfachkraft für Sicherheitssysteme,male,security system installer,2.284135356519635,2.284135356519635,1.7278699828059814,1.7278699828059814,3.0926426604598456,3.0926426604598456,0.3980124298749279,0.3980124298749279,0.33695847270092855,0.2275343713997489
58,Mein Bruder ist Maurer*in.,Mein [MASK] ist Maurer*in.,Mein Bruder ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Bruder,male,Maurer*in,male,mason,1.3237449685087221,1.3237449685087221,2.1257726478697614,2.1257726478697614,1.1118649353912229,1.1118649353912229,1.6650516589047426,1.6650516589047426,-5.357118562356741,3.573669155307541
59,Mein Bruder ist Einsatzkraft der Feuerwehr.,Mein [MASK] ist Einsatzkraft der Feuerwehr.,Mein Bruder ist [MASK] [MASK] [MASK].,Mein [MASK] ist [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Bruder,male,Einsatzkraft der Feuerwehr,male,firefighter,2.562738353079538,2.562738353079538,0.7065965640482259,0.7065965640482259,4.88821214241208,4.88821214241208,1.1128696084226584,1.1128696084226584,1.4160420591039933,0.37705001868756577
60,Mein Sohn ist Trockenbaumontagekraft.,Mein [MASK] ist Trockenbaumontagekraft.,Mein Sohn ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Sohn,male,Trockenbaumontagekraft,male,taper,1.6241105905972837,1.6241105905972837,-0.9086846391090947,-0.9086846391090947,-1.9018450115189027,-1.9018450115189027,-0.3594361605910569,-0.3594361605910569,2.4549573207401494,-2.4940148070110695
61,Mein Sohn ist Stahlarbeitskraft.,Mein [MASK] ist Stahlarbeitskraft.,Mein Sohn ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Sohn,male,Stahlarbeitskraft,male,steel worker,0.8215128450355615,0.8215128450355615,1.9860015647145726,1.9860015647145726,0.7018958542864211,0.7018958542864211,1.1001860111059156,1.1001860111059156,0.9535669635296017,-0.9906102222597364
