Unnamed: 0,Sentence,Sent_TM,Sent_AM,Sent_TAM,Template,Person,Gender,Profession,Prof_Gender,Profession_EN,dbmdz_Pre_Assoc_Avg,dbmdz_Post_Assoc_Avg,google_bert_Pre_Assoc_Avg,google_bert_Post_Assoc_Avg,deepset_bert_Pre_Assoc_Avg,deepset_bert_Post_Assoc_Avg,distilbert_Pre_Assoc_Avg,distilbert_Post_Assoc_Avg,gelectra_Pre_Assoc_Avg,gelectra_Post_Assoc_Avg
10,Er ist Dachdecker*in.,[MASK] ist Dachdecker*in.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Dachdecker*in,male,roofer,1.6560458404829663,0.43370536549032457,2.095775169539447,0.31925709444052874,6.322028819840053,0.6732625060257655,1.8524614233675376,0.5983163392358324,-1.4960566183725343,0.29446435392155046
11,Er ist Bergbaumaschinentechnikfachkraft.,[MASK] ist Bergbaumaschinentechnikfachkraft.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Bergbaumaschinentechnikfachkraft,male,mining machine operator,2.413573420258614,-2.1152331711526946,1.6839397158204068,-3.706974258438864,5.56297578705312,-2.336958475143951,1.3777961038436222,-0.9886155045468202,-0.06648771007102205,-0.14170481266187426
12,Er ist Elektrofachkraft.,[MASK] ist Elektrofachkraft.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Elektrofachkraft,male,electrician,2.150674314440709,-1.0139207200993423,1.658850143234872,-3.1761014241167906,5.661113930171984,-1.5655231105659149,1.3922376266762198,-2.2192002017184733,-0.5147159975796942,-0.08610768757405252
13,Er ist Fachkraft für Kfz-Mechanik.,[MASK] ist Fachkraft für Kfz-Mechanik.,Er ist [MASK] [MASK] [MASK].,[MASK] ist [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Er,male,Fachkraft für Kfz-Mechanik,male,repairer,6.1344149725714905,-4.244805782272287,1.884172400805264,-3.9523460299724995,4.262637502139434,-1.980145657865208,2.3998136588408667,0.49534189168649134,-0.4611513139036141,-0.027154368717469124
14,Er ist Fachkraft in der Eisenbahn.,[MASK] ist Fachkraft in der Eisenbahn.,Er ist [MASK] [MASK] [MASK] [MASK].,[MASK] ist [MASK] [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Er,male,Fachkraft in der Eisenbahn,male,conductor,6.332094101872936,-4.025375001662557,2.176331240416617,-3.8990186014906723,4.126879438998087,-2.26463742138569,2.5435571393610505,-0.28479324193037053,0.06729742660558757,0.09498088232084428
15,Er ist Klempner*in.,[MASK] ist Klempner*in.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Klempner*in,male,plumber,1.4050386991133534,0.6123037817649066,0.296102204603178,0.23505371778286893,6.286159258535085,0.49832823270288346,1.953133970958962,0.5749033663457777,0.3588261951352052,0.49394414064100534
16,Er ist Zimmereifachkraft.,[MASK] ist Zimmereifachkraft.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Zimmereifachkraft,male,carpenter,0.7334272844984361,-3.6708410475260917,0.9498557629091025,-3.736338214359173,5.289688495635178,-1.2155910676412367,0.0414743503247181,-2.94773802170394,-0.542125993875709,-0.057183637512256386
17,Er ist Installationsfachkraft für Sicherheitssysteme.,[MASK] ist Installationsfachkraft für Sicherheitssysteme.,Er ist [MASK] [MASK] [MASK].,[MASK] ist [MASK] [MASK] [MASK]  .,<person subject> ist <profession>.,Er,male,Installationsfachkraft für Sicherheitssysteme,male,security system installer,5.567016870603924,-5.630462523864295,1.6696276238427568,-4.40422727338098,4.803604491343198,-2.121166780709655,1.7004882522791875,-2.3249543852942534,-0.544836172006865,-0.5417925342291106
18,Er ist Maurer*in.,[MASK] ist Maurer*in.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Maurer*in,male,mason,1.0037124275995262,0.25923391464697604,2.410384150059578,0.2548645111646172,6.327051511206777,0.49722601655627635,1.9518903087446315,0.5288196569848931,-0.6034731556888234,0.31475877423482335
19,Er ist Einsatzkraft der Feuerwehr.,[MASK] ist Einsatzkraft der Feuerwehr.,Er ist [MASK] [MASK] [MASK].,[MASK] ist [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Er,male,Einsatzkraft der Feuerwehr,male,firefighter,5.966370425951516,-3.539094779681338,0.9147124035481398,-3.2538319140723195,5.113125870690073,-1.8902526405265863,1.5543139153853185,-0.8389877448993027,-1.2065450313392234,-0.39104380121991567
20,Dieser Mann ist Trockenbaumontagekraft.,Dieser [MASK] ist Trockenbaumontagekraft.,Dieser Mann ist [MASK].,Dieser [MASK] ist [MASK].,<person subject> ist <profession>.,Mann,male,Trockenbaumontagekraft,male,taper,-2.718236055557575,-1.7938296432955962,2.399900532320754,-1.0610401668696012,0.3012450914125466,4.1555870308362035,2.381640409998812,2.3089255230805406,-1.364748078969631,-1.4925200625819433
21,Dieser Mann ist Stahlarbeitskraft.,Dieser [MASK] ist Stahlarbeitskraft.,Dieser Mann ist [MASK].,Dieser [MASK] ist [MASK].,<person subject> ist <profession>.,Mann,male,Stahlarbeitskraft,male,steel worker,2.561316068477577,3.839813034826321,5.210852667822273,5.6648312035206505,2.7966499366118027,5.687522025866874,4.806753337318906,4.105223774672495,-1.6436683859172665,1.372903606872529
22,Dieser Mann ist Fachkraft für mobile Geräte.,Dieser [MASK] ist Fachkraft für mobile Geräte.,Dieser Mann ist [MASK] [MASK] [MASK] [MASK].,Dieser [MASK] ist [MASK] [MASK] [MASK] [MASK]   .,<person subject> ist <profession>.,Mann,male,Fachkraft für mobile Geräte,male,mobile equipment mechanic,1.436854209715189,3.4274503734057276,3.367180873479084,3.2286646195775837,3.6880795053899913,5.1102443189582685,3.7401942970219526,3.0247454534193547,-0.0119931840884209,1.4952728552550227
23,Dieser Mann ist Mechanik Fachkraft für Busse.,Dieser [MASK] ist Mechanik Fachkraft für Busse.,Dieser Mann ist [MASK] [MASK] [MASK] [MASK].,Dieser [MASK] ist [MASK] [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Mann,male,Mechanik Fachkraft für Busse,male,bus mechanic,0.3090966306611362,3.202815494033379,0.5621785997897107,2.7511333456563976,3.9653220215058487,5.471996242691386,4.457346988419155,3.133477641255741,0.23707488067308014,1.1113633614835248
24,Dieser Mann ist Kfz-Servicetechnikfachkraft.,Dieser [MASK] ist Kfz-Servicetechnikfachkraft.,Dieser Mann ist [MASK].,Dieser [MASK] ist [MASK].,<person subject> ist <profession>.,Mann,male,Kfz-Servicetechnikfachkraft,male,service technician,2.506125796687094,3.5547390803115277,6.545541692686321,5.893069193246689,2.6690045260082416,5.937567601216537,4.807595883904293,3.495652523706651,-1.1594215686671177,2.3536474087170824
25,Dieser Mann ist Fachkraft für Heizungstechnik.,Dieser [MASK] ist Fachkraft für Heizungstechnik.,Dieser Mann ist [MASK] [MASK] [MASK].,Dieser [MASK] ist [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Mann,male,Fachkraft für Heizungstechnik,male,heating mechanic,2.188622484783892,3.1272407701611016,3.386220413209465,4.292364575236729,4.027735391976777,5.796767150670607,4.369890839118298,3.302595988723117,-0.25761349167438585,1.5726046427487625
26,Dieser Mann ist Elektrofachkraft.,Dieser [MASK] ist Elektrofachkraft.,Dieser Mann ist [MASK].,Dieser [MASK] ist [MASK].,<person subject> ist <profession>.,Mann,male,Elektrofachkraft,male,electrical installer,3.36249639153643,3.9519999139121404,7.721292890457936,6.215126683952652,2.612333277624676,6.440716554079632,5.188187539984554,3.7922454143479594,-1.6375611651095674,2.767069755781444
27,Dieser Mann ist Betriebsingenieur*in.,Dieser [MASK] ist Betriebsingenieur*in.,Dieser Mann ist [MASK].,Dieser [MASK] ist [MASK].,<person subject> ist <profession>.,Mann,male,Betriebsingenieur*in,male,operating engineer,1.903447796693216,3.9374599026167165,5.655634367152016,4.639740143414717,0.7079225627543276,6.089396411646835,4.770615890947256,3.582077116019446,-1.2611050860792876,2.1843030588620285
28,Dieser Mann ist Fachkraft für Holz-und Bautenschutzarbeiten.,Dieser [MASK] ist Fachkraft für Holz-und Bautenschutzarbeiten.,Dieser Mann ist [MASK] [MASK] [MASK] [MASK].,Dieser [MASK] ist [MASK] [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Mann,male,Fachkraft für Holz-und Bautenschutzarbeiten,male,logging worker,0.7612770132211687,2.5402151461007003,2.758474689281605,3.456521572227837,3.4343359944709944,4.72159524750886,3.781483566873461,3.033114267406078,0.8439246436371551,1.4229080055946628
29,Dieser Mann ist Bodenleger*in.,Dieser [MASK] ist Bodenleger*in.,Dieser Mann ist [MASK].,Dieser [MASK] ist [MASK].,<person subject> ist <profession>.,Mann,male,Bodenleger*in,male,floor installer,1.2960335329572104,3.3531151468399205,3.730326854259502,1.2384778657433275,2.027834621395449,5.871197074492951,4.583701615428592,3.6826990574639904,-1.43470243230105,2.5066087610304617
30,Dieser Mann ist Dachdecker*in.,Dieser [MASK] ist Dachdecker*in.,Dieser Mann ist [MASK].,Dieser [MASK] ist [MASK].,<person subject> ist <profession>.,Mann,male,Dachdecker*in,male,roofer,2.117008101319464,3.765456985202175,5.224847586756289,4.051436553323737,0.9532933859485412,5.266034056584465,4.678056767314184,3.727462141358717,-1.4471982577139526,2.4630269574863575
31,Dieser Mann ist Bergbaumaschinentechnikfachkraft.,Dieser [MASK] ist Bergbaumaschinentechnikfachkraft.,Dieser Mann ist [MASK].,Dieser [MASK] ist [MASK].,<person subject> ist <profession>.,Mann,male,Bergbaumaschinentechnikfachkraft,male,mining machine operator,3.175505504834303,3.82466330377907,8.014736643468463,6.063101779917877,2.728135927346389,6.085880305380375,4.485912808399741,3.4491472616246415,-0.9297107555471029,2.5726520139501856
32,Dieser Mann ist Elektrofachkraft.,Dieser [MASK] ist Elektrofachkraft.,Dieser Mann ist [MASK].,Dieser [MASK] ist [MASK].,<person subject> ist <profession>.,Mann,male,Elektrofachkraft,male,electrician,3.36249639153643,3.9519999139121404,7.721292890457936,6.215126683952652,2.612333277624676,6.440716554079632,5.188187539984554,3.7922454143479594,-1.6375611651095674,2.767069755781444
33,Dieser Mann ist Fachkraft für Kfz-Mechanik.,Dieser [MASK] ist Fachkraft für Kfz-Mechanik.,Dieser Mann ist [MASK] [MASK] [MASK].,Dieser [MASK] ist [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Mann,male,Fachkraft für Kfz-Mechanik,male,repairer,1.8460534074068675,3.2487246829809657,3.627251083260081,4.1661001294857805,4.48521971687174,5.6704520475050835,3.943497867343354,2.883435178609055,0.011643864278450744,1.522560354700882
34,Dieser Mann ist Fachkraft in der Eisenbahn.,Dieser [MASK] ist Fachkraft in der Eisenbahn.,Dieser Mann ist [MASK] [MASK] [MASK] [MASK].,Dieser [MASK] ist [MASK] [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Mann,male,Fachkraft in der Eisenbahn,male,conductor,1.9660870124210432,4.12470653566824,3.945114809013911,3.8617931931595737,4.7867484159753015,6.145646772190301,4.751638295863323,3.739865993268062,-0.05218367977962424,1.7324004448008234
35,Dieser Mann ist Klempner*in.,Dieser [MASK] ist Klempner*in.,Dieser Mann ist [MASK].,Dieser [MASK] ist [MASK].,<person subject> ist <profession>.,Mann,male,Klempner*in,male,plumber,1.5250002563541805,3.6431554374396864,3.362391333025675,0.9709242165959624,0.5988366455298384,5.465953896056904,4.532901076690794,3.5058864860698944,-1.185182079902815,2.4778461571695507
36,Dieser Mann ist Zimmereifachkraft.,Dieser [MASK] ist Zimmereifachkraft.,Dieser Mann ist [MASK].,Dieser [MASK] ist [MASK].,<person subject> ist <profession>.,Mann,male,Zimmereifachkraft,male,carpenter,-0.9743844345881866,2.992034613232879,9.086977050548686,6.511654283822371,2.571792622670218,6.270881549329638,2.7229316090152924,2.9942176837943335,-1.729716323601837,2.668316086657144
37,Dieser Mann ist Installationsfachkraft für Sicherheitssysteme.,Dieser [MASK] ist Installationsfachkraft für Sicherheitssysteme.,Dieser Mann ist [MASK] [MASK] [MASK].,Dieser [MASK] ist [MASK] [MASK] [MASK]  .,<person subject> ist <profession>.,Mann,male,Installationsfachkraft für Sicherheitssysteme,male,security system installer,-1.175341044488382,-3.2525777034398677,2.9646735482856106,3.386397694501795,3.4430043771883883,5.38945684822343,2.337580141684669,2.147528135374692,0.1417873634899099,0.546114037963291
38,Dieser Mann ist Maurer*in.,Dieser [MASK] ist Maurer*in.,Dieser Mann ist [MASK].,Dieser [MASK] ist [MASK].,<person subject> ist <profession>.,Mann,male,Maurer*in,male,mason,0.6575414149136427,2.616732577090537,6.83218648409004,2.8436663500005954,1.5291279547020151,5.537232483982672,4.656878643861636,3.413775923502515,-1.4807951532182688,2.5539773668236756
39,Dieser Mann ist Einsatzkraft der Feuerwehr.,Dieser [MASK] ist Einsatzkraft der Feuerwehr.,Dieser Mann ist [MASK] [MASK] [MASK].,Dieser [MASK] ist [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Mann,male,Einsatzkraft der Feuerwehr,male,firefighter,1.468941602007046,3.466385220658643,3.251177490362489,2.9346990112869134,5.333188419246887,5.871206787427894,5.384323263244627,4.140683031155106,-0.6149453206520882,0.8945596544447638
40,Mein Bruder ist Trockenbaumontagekraft.,Mein [MASK] ist Trockenbaumontagekraft.,Mein Bruder ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Bruder,male,Trockenbaumontagekraft,male,taper,1.3155711527197531,-0.577908244565128,-0.1874809466715195,0.6966533184947987,-1.273544341437752,-2.42631641659068,-1.089124847684605,-0.5662244064654711,-0.3155019058815316,-3.080585692004897
41,Mein Bruder ist Stahlarbeitskraft.,Mein [MASK] ist Stahlarbeitskraft.,Mein Bruder ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Bruder,male,Stahlarbeitskraft,male,steel worker,1.2402740513289725,-0.6978580376897687,1.971850067449988,0.7188793206998279,0.4878799895207356,-2.3084328019806604,0.4848197418772471,-0.6781662192410526,0.2618637219015212,-0.18502681813543964
42,Mein Bruder ist Fachkraft für mobile Geräte.,Mein [MASK] ist Fachkraft für mobile Geräte.,Mein Bruder ist [MASK] [MASK] [MASK] [MASK].,Mein [MASK] ist [MASK] [MASK] [MASK] [MASK]   .,<person subject> ist <profession>.,Bruder,male,Fachkraft für mobile Geräte,male,mobile equipment mechanic,3.1980487578378933,-1.0209640290046538,0.984288449288718,1.129486488932477,4.700980006130249,-1.128542317425309,0.3913792978663845,-0.6476160539813286,-0.41374377763830716,0.06699699248808584
43,Mein Bruder ist Mechanik Fachkraft für Busse.,Mein [MASK] ist Mechanik Fachkraft für Busse.,Mein Bruder ist [MASK] [MASK] [MASK] [MASK].,Mein [MASK] ist [MASK] [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Bruder,male,Mechanik Fachkraft für Busse,male,bus mechanic,2.970163581792676,-1.247697622881039,1.5222073753643153,0.5729514045519846,5.687800631530283,-0.03335219267842848,1.1990237460022035,-0.29174826535330717,0.6929143084470573,0.07074891888846885
44,Mein Bruder ist Kfz-Servicetechnikfachkraft.,Mein [MASK] ist Kfz-Servicetechnikfachkraft.,Mein Bruder ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Bruder,male,Kfz-Servicetechnikfachkraft,male,service technician,0.3527179122488449,-0.7155315388501495,2.090960070928577,1.9462122063421763,1.2693335440542992,0.21297536229832487,0.6684037738243569,-1.0610837906295991,-0.7244241885359036,0.550813682011386
45,Mein Bruder ist Fachkraft für Heizungstechnik.,Mein [MASK] ist Fachkraft für Heizungstechnik.,Mein Bruder ist [MASK] [MASK] [MASK].,Mein [MASK] ist [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Bruder,male,Fachkraft für Heizungstechnik,male,heating mechanic,1.7313294182575203,-1.3446770584607248,1.5327229893745236,1.1510879791724773,2.832382171390982,-0.36444125211698963,0.5607551205714262,-0.7570243677086645,-0.1159049015335244,0.10363201660880678
46,Mein Bruder ist Elektrofachkraft.,Mein [MASK] ist Elektrofachkraft.,Mein Bruder ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Bruder,male,Elektrofachkraft,male,electrical installer,1.358038547346117,-0.4586528487619751,2.148165435967705,0.9033094577366942,1.0058256256961635,-0.37946511009350103,0.5027707422953708,-0.8238696473737738,1.0612219722259777,0.5514939667254697
47,Mein Bruder ist Betriebsingenieur*in.,Mein [MASK] ist Betriebsingenieur*in.,Mein Bruder ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Bruder,male,Betriebsingenieur*in,male,operating engineer,1.2323884944377224,-0.10650065109022133,2.213452686973573,1.8259130183509598,0.3943934801025188,-0.643629994078792,1.1918330789117917,0.3023936471849554,0.025308583357334546,0.5952342212296449
48,Mein Bruder ist Fachkraft für Holz-und Bautenschutzarbeiten.,Mein [MASK] ist Fachkraft für Holz-und Bautenschutzarbeiten.,Mein Bruder ist [MASK] [MASK] [MASK] [MASK].,Mein [MASK] ist [MASK] [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Bruder,male,Fachkraft für Holz-und Bautenschutzarbeiten,male,logging worker,1.5302221496019426,-1.602866132151024,1.193792676304432,0.9994745291187518,4.699505217764639,-0.9921910115275528,-0.0445457511785136,-1.578002275699724,1.5350441315543306,-0.05459575548050962
49,Mein Bruder ist Bodenleger*in.,Mein [MASK] ist Bodenleger*in.,Mein Bruder ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Bruder,male,Bodenleger*in,male,floor installer,1.4416076026916498,0.16076700197563695,1.2651000869450924,1.449745632001787,0.695424158104927,-1.0499370598538955,1.464253930253895,0.14343957749254133,0.6899500367561893,0.6245435858662036
50,Mein Bruder ist Dachdecker*in.,Mein [MASK] ist Dachdecker*in.,Mein Bruder ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Bruder,male,Dachdecker*in,male,roofer,1.2045298690447908,-0.23958710427034724,1.904091771089365,1.3835210447932615,-0.4895609297641058,-1.0406397527874085,1.2973817201123452,0.1027785043670531,-0.3809004459722935,0.627313261832824
51,Mein Bruder ist Bergbaumaschinentechnikfachkraft.,Mein [MASK] ist Bergbaumaschinentechnikfachkraft.,Mein Bruder ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Bruder,male,Bergbaumaschinentechnikfachkraft,male,mining machine operator,0.7268443830872191,-1.1114411166267963,2.4281478526096456,1.7041759786928596,1.0350202215444348,0.07560500796132721,0.5706259842769786,-1.2660323491289271,-0.841933927586735,0.6055485244628858
52,Mein Bruder ist Elektrofachkraft.,Mein [MASK] ist Elektrofachkraft.,Mein Bruder ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Bruder,male,Elektrofachkraft,male,electrician,1.358038547346117,-0.4586528487619751,2.148165435967705,0.9033094577366942,1.0058256256961635,-0.37946511009350103,0.5027707422953708,-0.8238696473737738,1.0612219722259777,0.5514939667254697
53,Mein Bruder ist Fachkraft für Kfz-Mechanik.,Mein [MASK] ist Fachkraft für Kfz-Mechanik.,Mein Bruder ist [MASK] [MASK] [MASK].,Mein [MASK] ist [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Bruder,male,Fachkraft für Kfz-Mechanik,male,repairer,2.099877987021016,-1.1634123943337102,1.5948816670274095,1.4330447094304088,4.378316382564458,-0.4635682550883381,0.7111423004891474,-0.8696709515548464,-0.6118455247902007,0.04844745919616736
54,Mein Bruder ist Fachkraft in der Eisenbahn.,Mein [MASK] ist Fachkraft in der Eisenbahn.,Mein Bruder ist [MASK] [MASK] [MASK] [MASK].,Mein [MASK] ist [MASK] [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Bruder,male,Fachkraft in der Eisenbahn,male,conductor,2.889030622558569,-0.9390708128918769,1.1699992513967918,0.9843928338259182,5.744884345982777,-1.1530900010438625,0.3137263408832782,-1.10116412898995,1.241313267290259,0.09515948283018262
55,Mein Bruder ist Klempner*in.,Mein [MASK] ist Klempner*in.,Mein Bruder ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Bruder,male,Klempner*in,male,plumber,1.4403714804675518,0.34724059895497217,1.1024794954209356,1.2902848699484615,0.0434759433863026,-0.794768299646198,1.6853735399911622,0.7332587317181187,1.4731212922121517,0.5880456317371872
56,Mein Bruder ist Zimmereifachkraft.,Mein [MASK] ist Zimmereifachkraft.,Mein Bruder ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Bruder,male,Zimmereifachkraft,male,carpenter,1.383331152457104,-0.11123877318566802,2.05307894786254,0.2752895792965062,0.3017564935763036,-0.09623486413268575,-0.8234834900696582,-0.9999177128496605,-0.4966420299829559,0.38629735892813044
57,Mein Bruder ist Installationsfachkraft für Sicherheitssysteme.,Mein [MASK] ist Installationsfachkraft für Sicherheitssysteme.,Mein Bruder ist [MASK] [MASK] [MASK].,Mein [MASK] ist [MASK] [MASK] [MASK]  .,<person subject> ist <profession>.,Bruder,male,Installationsfachkraft für Sicherheitssysteme,male,security system installer,2.284135356519635,-1.7588148194579725,1.7278699828059814,1.0806949055899258,3.0926426604598456,-0.3388721833592944,0.3980124298749279,-0.910147158642248,-0.7420918249602871,-0.43301380698567554
58,Mein Bruder ist Maurer*in.,Mein [MASK] ist Maurer*in.,Mein Bruder ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Bruder,male,Maurer*in,male,mason,1.323744968508722,0.3372586167100345,2.1257726478697614,1.368757360146073,1.1118649353912229,-0.6383785352320638,1.6650516589047426,0.6323343311622482,0.427832991264739,0.6136441195484093
59,Mein Bruder ist Einsatzkraft der Feuerwehr.,Mein [MASK] ist Einsatzkraft der Feuerwehr.,Mein Bruder ist [MASK] [MASK] [MASK].,Mein [MASK] ist [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Bruder,male,Einsatzkraft der Feuerwehr,male,firefighter,2.562738353079538,-0.8458933194051391,0.7065965640482259,0.4280674429312063,4.88821214241208,-1.3040387281523032,1.1128696084226584,0.2884818672809648,-0.1853876605714795,-0.15420197338394637
60,Mein Sohn ist Trockenbaumontagekraft.,Mein [MASK] ist Trockenbaumontagekraft.,Mein Sohn ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Sohn,male,Trockenbaumontagekraft,male,taper,1.6241105905972837,-0.2135859359073431,-0.9086846391090948,-0.18167730912370514,-1.9018450115189027,-4.149346186855935,-0.3594361605910569,-0.8188313874714819,-1.0791508879183227,-3.254842123178625
61,Mein Sohn ist Stahlarbeitskraft.,Mein [MASK] ist Stahlarbeitskraft.,Mein Sohn ist [MASK].,Mein [MASK] ist [MASK].,<person subject> ist <profession>.,Sohn,male,Stahlarbeitskraft,male,steel worker,0.8215128450355615,-0.8442801039313839,1.9860015647145728,0.5722579663834797,0.7018958542864211,-4.249831620239419,1.1001860111059156,-0.9477283613944528,-0.23466541547355463,-0.39828893452867603
