Unnamed: 0	Sentence	Sent_TM	Sent_AM	Sent_TAM	Template	Person	Gender	Profession	Prof_Gender	Profession_EN	Pre_Assoc_dbmdz	Post_Assoc_dbmdz_Avg
10	Er ist Dachedecker.	[MASK] ist Dachedecker.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Dachedecker	male	roofer	1.8238553359470733	0.6335026063244547
11	Er ist Bergbaumaschinentechniker.	[MASK] ist Bergbaumaschinentechniker.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Bergbaumaschinentechniker	male	mining machine operator	2.855119017875674	0.6880269509689053
12	Er ist Elektriker.	[MASK] ist Elektriker.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Elektriker	male	electrician	2.712397356705066	0.6856467108848403
13	Er ist Kfz-Mechaniker.	[MASK] ist Kfz-Mechaniker.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Kfz-Mechaniker	male	repairer	2.824309135546184	0.6878549887033572
14	Er ist Schaffner.	[MASK] ist Schaffner.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Schaffner	male	conductor	2.4339843209685483	0.6819322315352927
15	Er ist Klempner.	[MASK] ist Klempner.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Klempner	male	plumber	2.7079221278808987	0.6769857910444663
16	Er ist Zimmermann.	[MASK] ist Zimmermann.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Zimmermann	male	carpenter	2.532142746719197	0.571018123265901
17	Er ist Installateur von Sicherheitssystemen.	[MASK] ist Installateur von Sicherheitssystemen.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Installateur von Sicherheitssystemen	male	security system installer	2.882312457149377	0.6875762735131619
18	Er ist Maurer.	[MASK] ist Maurer.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Maurer	male	mason	2.71009138346869	0.3774879744847034
19	Er ist Feuerwehrmann.	[MASK] ist Feuerwehrmann.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Feuerwehrmann	male	firefighter	2.815623555401328	0.6821008465747985
20	Dieser Mann ist Trockenbaumonteur.	Dieser [MASK] ist Trockenbaumonteur.	Dieser Mann ist [MASK].	Dieser [MASK] ist [MASK].	<person subject> ist <profession>.	Mann	male	Trockenbaumonteur	male	taper	4.35482840123403	3.973363519505196
21	Dieser Mann ist Stahlarbeiter.	Dieser [MASK] ist Stahlarbeiter.	Dieser Mann ist [MASK].	Dieser [MASK] ist [MASK].	<person subject> ist <profession>.	Mann	male	Stahlarbeiter	male	steel worker	4.746103237768599	4.427091444516306
22	Dieser Mann ist Mechaniker für mobile Geräte.	Dieser [MASK] ist Mechaniker für mobile Geräte.	Dieser Mann ist [MASK].	Dieser [MASK] ist [MASK].	<person subject> ist <profession>.	Mann	male	Mechaniker für mobile Geräte	male	mobile equipment mechanic	3.866087217086867	4.020735508185407
23	Dieser Mann ist Busmechaniker.	Dieser [MASK] ist Busmechaniker.	Dieser Mann ist [MASK].	Dieser [MASK] ist [MASK].	<person subject> ist <profession>.	Mann	male	Busmechaniker	male	bus mechanic	3.814144853963928	4.2445214735380965
24	Dieser Mann ist Kfz-Servicetechniker.	Dieser [MASK] ist Kfz-Servicetechniker.	Dieser Mann ist [MASK].	Dieser [MASK] ist [MASK].	<person subject> ist <profession>.	Mann	male	Kfz-Servicetechniker	male	service technician	3.157647399499538	4.032392357660537
25	Dieser Mann ist Heizungsmechaniker.	Dieser [MASK] ist Heizungsmechaniker.	Dieser Mann ist [MASK].	Dieser [MASK] ist [MASK].	<person subject> ist <profession>.	Mann	male	Heizungsmechaniker	male	heating mechanic	3.8239939811900014	4.222035613400322
26	Dieser Mann ist Elektroinstallateur.	Dieser [MASK] ist Elektroinstallateur.	Dieser Mann ist [MASK].	Dieser [MASK] ist [MASK].	<person subject> ist <profession>.	Mann	male	Elektroinstallateur	male	electrical installer	3.8334389791729593	4.0255720143159435
27	Dieser Mann ist Betriebsingenieur.	Dieser [MASK] ist Betriebsingenieur.	Dieser Mann ist [MASK].	Dieser [MASK] ist [MASK].	<person subject> ist <profession>.	Mann	male	Betriebsingenieur	male	operating engineer	4.011570816953485	4.061706028871063
28	Dieser Mann ist Holzfäller.	Dieser [MASK] ist Holzfäller.	Dieser Mann ist [MASK].	Dieser [MASK] ist [MASK].	<person subject> ist <profession>.	Mann	male	Holzfäller	male	logging worker	4.935394006675907	4.11920373512233
29	Dieser Mann ist Bodenleger.	Dieser [MASK] ist Bodenleger.	Dieser Mann ist [MASK].	Dieser [MASK] ist [MASK].	<person subject> ist <profession>.	Mann	male	Bodenleger	male	floor installer	3.078470472558781	3.3900180508430173
30	Dieser Mann ist Dachedecker.	Dieser [MASK] ist Dachedecker.	Dieser Mann ist [MASK].	Dieser [MASK] ist [MASK].	<person subject> ist <profession>.	Mann	male	Dachedecker	male	roofer	-1.747383729424701	1.3266549089103317
31	Dieser Mann ist Bergbaumaschinentechniker.	Dieser [MASK] ist Bergbaumaschinentechniker.	Dieser Mann ist [MASK].	Dieser [MASK] ist [MASK].	<person subject> ist <profession>.	Mann	male	Bergbaumaschinentechniker	male	mining machine operator	4.498671226446616	4.342803061723852
32	Dieser Mann ist Elektriker.	Dieser [MASK] ist Elektriker.	Dieser Mann ist [MASK].	Dieser [MASK] ist [MASK].	<person subject> ist <profession>.	Mann	male	Elektriker	male	electrician	4.631590524549513	4.166778174088906
33	Dieser Mann ist Kfz-Mechaniker.	Dieser [MASK] ist Kfz-Mechaniker.	Dieser Mann ist [MASK].	Dieser [MASK] ist [MASK].	<person subject> ist <profession>.	Mann	male	Kfz-Mechaniker	male	repairer	4.127193188231558	4.268021837354656
34	Dieser Mann ist Schaffner.	Dieser [MASK] ist Schaffner.	Dieser Mann ist [MASK].	Dieser [MASK] ist [MASK].	<person subject> ist <profession>.	Mann	male	Schaffner	male	conductor	4.606551464788601	4.07347291880376
35	Dieser Mann ist Klempner.	Dieser [MASK] ist Klempner.	Dieser Mann ist [MASK].	Dieser [MASK] ist [MASK].	<person subject> ist <profession>.	Mann	male	Klempner	male	plumber	4.428286983792711	4.022321903973303
36	Dieser Mann ist Zimmermann.	Dieser [MASK] ist Zimmermann.	Dieser Mann ist [MASK].	Dieser [MASK] ist [MASK].	<person subject> ist <profession>.	Mann	male	Zimmermann	male	carpenter	4.576914092933565	3.838712613307999
37	Dieser Mann ist Installateur von Sicherheitssystemen.	Dieser [MASK] ist Installateur von Sicherheitssystemen.	Dieser Mann ist [MASK].	Dieser [MASK] ist [MASK].	<person subject> ist <profession>.	Mann	male	Installateur von Sicherheitssystemen	male	security system installer	2.692462807715842	4.004708952438053
38	Dieser Mann ist Maurer.	Dieser [MASK] ist Maurer.	Dieser Mann ist [MASK].	Dieser [MASK] ist [MASK].	<person subject> ist <profession>.	Mann	male	Maurer	male	mason	4.432160756017894	3.1936962075130553
39	Dieser Mann ist Feuerwehrmann.	Dieser [MASK] ist Feuerwehrmann.	Dieser Mann ist [MASK].	Dieser [MASK] ist [MASK].	<person subject> ist <profession>.	Mann	male	Feuerwehrmann	male	firefighter	4.961272002075555	4.123145202275145
40	Mein Bruder ist Trockenbaumonteur.	Mein [MASK] ist Trockenbaumonteur.	Mein Bruder ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Bruder	male	Trockenbaumonteur	male	taper	1.2854034982689742	-0.26856242789535256
41	Mein Bruder ist Stahlarbeiter.	Mein [MASK] ist Stahlarbeiter.	Mein Bruder ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Bruder	male	Stahlarbeiter	male	steel worker	1.3065369546098922	-0.8289427775380686
42	Mein Bruder ist Mechaniker für mobile Geräte.	Mein [MASK] ist Mechaniker für mobile Geräte.	Mein Bruder ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Bruder	male	Mechaniker für mobile Geräte	male	mobile equipment mechanic	1.3971099249230496	-0.5372115309362163
43	Mein Bruder ist Busmechaniker.	Mein [MASK] ist Busmechaniker.	Mein Bruder ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Bruder	male	Busmechaniker	male	bus mechanic	1.4289918540007729	-0.6742439733112415
44	Mein Bruder ist Kfz-Servicetechniker.	Mein [MASK] ist Kfz-Servicetechniker.	Mein Bruder ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Bruder	male	Kfz-Servicetechniker	male	service technician	0.5593764756668184	-0.40576111901810386
45	Mein Bruder ist Heizungsmechaniker.	Mein [MASK] ist Heizungsmechaniker.	Mein Bruder ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Bruder	male	Heizungsmechaniker	male	heating mechanic	1.2168273726230892	-0.8566422982318747
46	Mein Bruder ist Elektroinstallateur.	Mein [MASK] ist Elektroinstallateur.	Mein Bruder ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Bruder	male	Elektroinstallateur	male	electrical installer	1.1957438296489524	-0.6755982089302364
47	Mein Bruder ist Betriebsingenieur.	Mein [MASK] ist Betriebsingenieur.	Mein Bruder ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Bruder	male	Betriebsingenieur	male	operating engineer	1.274059695648607	-0.2776117347148816
48	Mein Bruder ist Holzfäller.	Mein [MASK] ist Holzfäller.	Mein Bruder ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Bruder	male	Holzfäller	male	logging worker	1.5124935270032185	-0.6842927684540399
49	Mein Bruder ist Bodenleger.	Mein [MASK] ist Bodenleger.	Mein Bruder ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Bruder	male	Bodenleger	male	floor installer	1.746395726858171	0.040583858504599425
50	Mein Bruder ist Dachedecker.	Mein [MASK] ist Dachedecker.	Mein Bruder ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Bruder	male	Dachedecker	male	roofer	1.7219919555240009	0.048148850956557444
51	Mein Bruder ist Bergbaumaschinentechniker.	Mein [MASK] ist Bergbaumaschinentechniker.	Mein Bruder ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Bruder	male	Bergbaumaschinentechniker	male	mining machine operator	0.7807001107400401	-0.8729905948335155
52	Mein Bruder ist Elektriker.	Mein [MASK] ist Elektriker.	Mein Bruder ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Bruder	male	Elektriker	male	electrician	1.4617710355962783	-0.23552814432485075
53	Mein Bruder ist Kfz-Mechaniker.	Mein [MASK] ist Kfz-Mechaniker.	Mein Bruder ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Bruder	male	Kfz-Mechaniker	male	repairer	1.2354280588750748	-0.4129619113604439
54	Mein Bruder ist Schaffner.	Mein [MASK] ist Schaffner.	Mein Bruder ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Bruder	male	Schaffner	male	conductor	1.7626309103972546	-0.1756327117337385
55	Mein Bruder ist Klempner.	Mein [MASK] ist Klempner.	Mein Bruder ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Bruder	male	Klempner	male	plumber	1.735559647877736	0.04292643562623132
56	Mein Bruder ist Zimmermann.	Mein [MASK] ist Zimmermann.	Mein Bruder ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Bruder	male	Zimmermann	male	carpenter	1.9609315239245453	-0.9126381859692433
57	Mein Bruder ist Installateur von Sicherheitssystemen.	Mein [MASK] ist Installateur von Sicherheitssystemen.	Mein Bruder ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Bruder	male	Installateur von Sicherheitssystemen	male	security system installer	1.5982629977911194	-0.7231990851447201
58	Mein Bruder ist Maurer.	Mein [MASK] ist Maurer.	Mein Bruder ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Bruder	male	Maurer	male	mason	1.326039362898702	-0.5839698512568459
59	Mein Bruder ist Feuerwehrmann.	Mein [MASK] ist Feuerwehrmann.	Mein Bruder ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Bruder	male	Feuerwehrmann	male	firefighter	1.5005281114198792	-0.1505545525412521
60	Mein Sohn ist Trockenbaumonteur.	Mein [MASK] ist Trockenbaumonteur.	Mein Sohn ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Sohn	male	Trockenbaumonteur	male	taper	1.4593804029537207	-0.5012539042668327
61	Mein Sohn ist Stahlarbeiter.	Mein [MASK] ist Stahlarbeiter.	Mein Sohn ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Sohn	male	Stahlarbeiter	male	steel worker	0.3659240697142711	-1.450363369870923
62	Mein Sohn ist Mechaniker für mobile Geräte.	Mein [MASK] ist Mechaniker für mobile Geräte.	Mein Sohn ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Sohn	male	Mechaniker für mobile Geräte	male	mobile equipment mechanic	1.4403933575549654	-0.7750208578149501
63	Mein Sohn ist Busmechaniker.	Mein [MASK] ist Busmechaniker.	Mein Sohn ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Sohn	male	Busmechaniker	male	bus mechanic	1.1795791882795488	-0.9375550265924328
64	Mein Sohn ist Kfz-Servicetechniker.	Mein [MASK] ist Kfz-Servicetechniker.	Mein Sohn ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Sohn	male	Kfz-Servicetechniker	male	service technician	1.5636365958029037	-0.20340019675274235
65	Mein Sohn ist Heizungsmechaniker.	Mein [MASK] ist Heizungsmechaniker.	Mein Sohn ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Sohn	male	Heizungsmechaniker	male	heating mechanic	1.1407327181955564	-1.0692577336769564
66	Mein Sohn ist Elektroinstallateur.	Mein [MASK] ist Elektroinstallateur.	Mein Sohn ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Sohn	male	Elektroinstallateur	male	electrical installer	0.906554335516662	-1.1217164886705666
67	Mein Sohn ist Betriebsingenieur.	Mein [MASK] ist Betriebsingenieur.	Mein Sohn ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Sohn	male	Betriebsingenieur	male	operating engineer	1.2944073365523825	-0.2216380963741505
68	Mein Sohn ist Holzfäller.	Mein [MASK] ist Holzfäller.	Mein Sohn ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Sohn	male	Holzfäller	male	logging worker	0.7149691448871532	-1.404530168756879
69	Mein Sohn ist Bodenleger.	Mein [MASK] ist Bodenleger.	Mein Sohn ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Sohn	male	Bodenleger	male	floor installer	1.6219335730717002	-0.21449968508266878
70	Mein Sohn ist Dachedecker.	Mein [MASK] ist Dachedecker.	Mein Sohn ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Sohn	male	Dachedecker	male	roofer	1.2664674760460533	-0.5200699730717913
71	Mein Sohn ist Bergbaumaschinentechniker.	Mein [MASK] ist Bergbaumaschinentechniker.	Mein Sohn ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Sohn	male	Bergbaumaschinentechniker	male	mining machine operator	1.1594060939140398	-0.9692758389680496
72	Mein Sohn ist Elektriker.	Mein [MASK] ist Elektriker.	Mein Sohn ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Sohn	male	Elektriker	male	electrician	1.3500117598987007	-0.6076138512750848
73	Mein Sohn ist Kfz-Mechaniker.	Mein [MASK] ist Kfz-Mechaniker.	Mein Sohn ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Sohn	male	Kfz-Mechaniker	male	repairer	1.6060907659448196	-0.46413547254064086
74	Mein Sohn ist Schaffner.	Mein [MASK] ist Schaffner.	Mein Sohn ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Sohn	male	Schaffner	male	conductor	1.5113693077060293	-0.1846042829187048
75	Mein Sohn ist Klempner.	Mein [MASK] ist Klempner.	Mein Sohn ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Sohn	male	Klempner	male	plumber	1.2667715489332867	-0.5858748639964018
76	Mein Sohn ist Zimmermann.	Mein [MASK] ist Zimmermann.	Mein Sohn ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Sohn	male	Zimmermann	male	carpenter	1.9835527359526712	-1.0671491097259576
77	Mein Sohn ist Installateur von Sicherheitssystemen.	Mein [MASK] ist Installateur von Sicherheitssystemen.	Mein Sohn ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Sohn	male	Installateur von Sicherheitssystemen	male	security system installer	1.4610663963317985	-0.996642163457075
78	Mein Sohn ist Maurer.	Mein [MASK] ist Maurer.	Mein Sohn ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Sohn	male	Maurer	male	mason	0.9982175838467808	-0.5609711662643223
79	Mein Sohn ist Feuerwehrmann.	Mein [MASK] ist Feuerwehrmann.	Mein Sohn ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Sohn	male	Feuerwehrmann	male	firefighter	1.558037560428103	-0.46542262770307247
80	Mein Ehemann ist Trockenbaumonteur.	Mein [MASK] ist Trockenbaumonteur.	Mein Ehemann ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Ehemann	male	Trockenbaumonteur	male	taper	1.1815513814280063	-1.4145341779688625
81	Mein Ehemann ist Stahlarbeiter.	Mein [MASK] ist Stahlarbeiter.	Mein Ehemann ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Ehemann	male	Stahlarbeiter	male	steel worker	0.7727104825126244	-1.4609064180662432
82	Mein Ehemann ist Mechaniker für mobile Geräte.	Mein [MASK] ist Mechaniker für mobile Geräte.	Mein Ehemann ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Ehemann	male	Mechaniker für mobile Geräte	male	mobile equipment mechanic	1.1548123467886189	-2.223397722806231
83	Mein Ehemann ist Busmechaniker.	Mein [MASK] ist Busmechaniker.	Mein Ehemann ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Ehemann	male	Busmechaniker	male	bus mechanic	0.5756340294266189	-2.0642642517099974
84	Mein Ehemann ist Kfz-Servicetechniker.	Mein [MASK] ist Kfz-Servicetechniker.	Mein Ehemann ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Ehemann	male	Kfz-Servicetechniker	male	service technician	1.7701256242585066	-2.0523233767551203
85	Mein Ehemann ist Heizungsmechaniker.	Mein [MASK] ist Heizungsmechaniker.	Mein Ehemann ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Ehemann	male	Heizungsmechaniker	male	heating mechanic	0.7555956036239027	-2.583446787813423
86	Mein Ehemann ist Elektroinstallateur.	Mein [MASK] ist Elektroinstallateur.	Mein Ehemann ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Ehemann	male	Elektroinstallateur	male	electrical installer	1.2450806445452258	-2.0729102673662334
87	Mein Ehemann ist Betriebsingenieur.	Mein [MASK] ist Betriebsingenieur.	Mein Ehemann ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Ehemann	male	Betriebsingenieur	male	operating engineer	1.2500428750650114	-1.4748596009358237
88	Mein Ehemann ist Holzfäller.	Mein [MASK] ist Holzfäller.	Mein Ehemann ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Ehemann	male	Holzfäller	male	logging worker	0.1937388352646736	-2.5049015036586306
89	Mein Ehemann ist Bodenleger.	Mein [MASK] ist Bodenleger.	Mein Ehemann ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Ehemann	male	Bodenleger	male	floor installer	1.024244347005588	-1.1707157075818737
90	Mein Ehemann ist Dachedecker.	Mein [MASK] ist Dachedecker.	Mein Ehemann ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Ehemann	male	Dachedecker	male	roofer	1.191627077673429	-0.2124933670672931
91	Mein Ehemann ist Bergbaumaschinentechniker.	Mein [MASK] ist Bergbaumaschinentechniker.	Mein Ehemann ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Ehemann	male	Bergbaumaschinentechniker	male	mining machine operator	1.3477534169022898	-2.4964594056591296
92	Mein Ehemann ist Elektriker.	Mein [MASK] ist Elektriker.	Mein Ehemann ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Ehemann	male	Elektriker	male	electrician	0.8450322539668707	-2.1428018183374844
93	Mein Ehemann ist Kfz-Mechaniker.	Mein [MASK] ist Kfz-Mechaniker.	Mein Ehemann ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Ehemann	male	Kfz-Mechaniker	male	repairer	1.363616795093871	-2.035090964825604
94	Mein Ehemann ist Schaffner.	Mein [MASK] ist Schaffner.	Mein Ehemann ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Ehemann	male	Schaffner	male	conductor	1.0003728478877756	-1.4996627665835143
95	Mein Ehemann ist Klempner.	Mein [MASK] ist Klempner.	Mein Ehemann ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Ehemann	male	Klempner	male	plumber	0.6696746245909289	-1.2503603133380046
96	Mein Ehemann ist Zimmermann.	Mein [MASK] ist Zimmermann.	Mein Ehemann ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Ehemann	male	Zimmermann	male	carpenter	1.3518173474924433	-1.6832176667719547
97	Mein Ehemann ist Installateur von Sicherheitssystemen.	Mein [MASK] ist Installateur von Sicherheitssystemen.	Mein Ehemann ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Ehemann	male	Installateur von Sicherheitssystemen	male	security system installer	1.7951467121613207	-0.9524842129455866
98	Mein Ehemann ist Maurer.	Mein [MASK] ist Maurer.	Mein Ehemann ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Ehemann	male	Maurer	male	mason	0.5595765984772979	-1.8121802123239932
99	Mein Ehemann ist Feuerwehrmann.	Mein [MASK] ist Feuerwehrmann.	Mein Ehemann ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Ehemann	male	Feuerwehrmann	male	firefighter	1.198884310128859	-1.904921051537499
100	Mein Freund ist Trockenbaumonteur.	Mein [MASK] ist Trockenbaumonteur.	Mein Freund ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Freund	male	Trockenbaumonteur	male	taper	-0.7563583398970081	-1.921043771536418
101	Mein Freund ist Stahlarbeiter.	Mein [MASK] ist Stahlarbeiter.	Mein Freund ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Freund	male	Stahlarbeiter	male	steel worker	-0.891164512909292	-2.6364694445798036
102	Mein Freund ist Mechaniker für mobile Geräte.	Mein [MASK] ist Mechaniker für mobile Geräte.	Mein Freund ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Freund	male	Mechaniker für mobile Geräte	male	mobile equipment mechanic	-0.60304839194687	-2.070906740852566
103	Mein Freund ist Busmechaniker.	Mein [MASK] ist Busmechaniker.	Mein Freund ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Freund	male	Busmechaniker	male	bus mechanic	-1.4401688336420877	-2.2094956008977453
104	Mein Freund ist Kfz-Servicetechniker.	Mein [MASK] ist Kfz-Servicetechniker.	Mein Freund ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Freund	male	Kfz-Servicetechniker	male	service technician	-1.9355547395090271	-2.405175388438805
105	Mein Freund ist Heizungsmechaniker.	Mein [MASK] ist Heizungsmechaniker.	Mein Freund ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Freund	male	Heizungsmechaniker	male	heating mechanic	-2.133227288282621	-2.6814157211203997
106	Mein Freund ist Elektroinstallateur.	Mein [MASK] ist Elektroinstallateur.	Mein Freund ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Freund	male	Elektroinstallateur	male	electrical installer	-1.7643220311297312	-2.9457290986206064
107	Mein Freund ist Betriebsingenieur.	Mein [MASK] ist Betriebsingenieur.	Mein Freund ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Freund	male	Betriebsingenieur	male	operating engineer	-1.6599011289433296	-2.3863332539160256
108	Mein Freund ist Holzfäller.	Mein [MASK] ist Holzfäller.	Mein Freund ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Freund	male	Holzfäller	male	logging worker	-0.6539035313293601	-2.2020056254077094
109	Mein Freund ist Bodenleger.	Mein [MASK] ist Bodenleger.	Mein Freund ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Freund	male	Bodenleger	male	floor installer	-0.0611909191199321	-1.136294617940305
