Unnamed: 0	Sentence	Sent_TM	Sent_AM	Sent_TAM	Template	Person	Gender	Profession	Prof_Gender	Profession_EN	Pre_Assoc_dbmdz_Avg	Post_Assoc_dbmdz_Avg	Pre_Assoc_google_bert_Avg	Post_Assoc_google_bert_Avg	Pre_Assoc_deepset_bert_Avg	Post_Assoc_deepset_bert_Avg	Pre_Assoc_distilbert_Avg	Post_Assoc_distilbert_Avg
13	Er ist Kfz-Mechaniker.	[MASK] ist Kfz-Mechaniker.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Kfz-Mechaniker	male	repairer	2.824309135546184	0.6878549887033572	2.7075733144872576	0.3765062323167251	6.801454643600089	0.8143707716513771	1.9018662330864555	0.6119807629931954
14	Er ist Schaffner.	[MASK] ist Schaffner.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Schaffner	male	conductor	2.4339843209685483	0.6819322315352927	2.4689108102984214	0.3465211877842084	5.176376816921433	0.793172884882666	1.828065697545621	0.5675811666569839
15	Er ist Klempner.	[MASK] ist Klempner.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Klempner	male	plumber	2.7079221278808987	0.6769857910444663	1.62957876931224	0.3663186866462844	6.856151569304809	0.8112438675833956	2.171864528835315	0.6041652630529167
16	Er ist Zimmermann.	[MASK] ist Zimmermann.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Zimmermann	male	carpenter	2.532142746719197	0.571018123265901	0.5770654661703443	0.1733847123935909	5.014605745653244	0.6161371097352547	0.5642111725678418	0.40073948136095733
17	Er ist Installateur von Sicherheitssystemen.	[MASK] ist Installateur von Sicherheitssystemen.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Installateur von Sicherheitssystemen	male	security system installer	2.882312457149377	0.6875762735131619	2.880689828839242	0.3736090132034869	7.064577280922829	0.8131059833180131	2.1449074187911386	0.615333857158167
18	Er ist Maurer.	[MASK] ist Maurer.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Maurer	male	mason	2.71009138346869	0.3774879744847034	2.551387515741168	0.36868521265248727	6.417434096208204	0.7694732805784221	1.55722795272064	0.5660159294067518
19	Er ist Feuerwehrmann.	[MASK] ist Feuerwehrmann.	Er ist [MASK].	[MASK] ist [MASK].	<person subject> ist <profession>.	Er	male	Feuerwehrmann	male	firefighter	2.815623555401328	0.6821008465747985	2.6013793293288763	0.3764039448709884	6.604221591580388	0.8071524658810272	1.9788680327329031	0.5959863178604573
20	Dieser Mann ist Trockenbaumonteur.	Dieser [MASK] ist Trockenbaumonteur.	Dieser Mann ist [MASK].	Dieser [MASK] ist [MASK].	<person subject> ist <profession>.	Mann	male	Trockenbaumonteur	male	taper	4.35482840123403	3.973363519505196	7.906391410856725	6.103592030672248	1.829816395868597	5.13906539068361	5.056441311258316	4.142208619549575
21	Dieser Mann ist Stahlarbeiter.	Dieser [MASK] ist Stahlarbeiter.	Dieser Mann ist [MASK].	Dieser [MASK] ist [MASK].	<person subject> ist <profession>.	Mann	male	Stahlarbeiter	male	steel worker	4.746103237768599	4.427091444516306	10.9485616747131	7.089524786697188	2.8849499627094457	6.620042525204033	5.726680708941564	4.3259302617361595
22	Dieser Mann ist Mechaniker für mobile Geräte.	Dieser [MASK] ist Mechaniker für mobile Geräte.	Dieser Mann ist [MASK].	Dieser [MASK] ist [MASK].	<person subject> ist <profession>.	Mann	male	Mechaniker für mobile Geräte	male	mobile equipment mechanic	3.866087217086867	4.020735508185407	9.81069176024293	6.524937973140048	2.700717512249928	6.143764755993127	4.781539687950693	3.7688279502090207
23	Dieser Mann ist Busmechaniker.	Dieser [MASK] ist Busmechaniker.	Dieser Mann ist [MASK].	Dieser [MASK] ist [MASK].	<person subject> ist <profession>.	Mann	male	Busmechaniker	male	bus mechanic	3.814144853963928	4.2445214735380965	9.640720543015808	6.729943967538061	2.9598946631528475	6.393168126434615	5.007729125988407	3.797028693001744
24	Dieser Mann ist Kfz-Servicetechniker.	Dieser [MASK] ist Kfz-Servicetechniker.	Dieser Mann ist [MASK].	Dieser [MASK] ist [MASK].	<person subject> ist <profession>.	Mann	male	Kfz-Servicetechniker	male	service technician	3.157647399499538	4.032392357660537	8.368095918822029	6.731822170308609	2.9373401822380103	6.290332003622385	5.124964972556642	3.9708949410526166
25	Dieser Mann ist Heizungsmechaniker.	Dieser [MASK] ist Heizungsmechaniker.	Dieser Mann ist [MASK].	Dieser [MASK] ist [MASK].	<person subject> ist <profession>.	Mann	male	Heizungsmechaniker	male	heating mechanic	3.8239939811900014	4.222035613400322	9.075295961349385	6.5987290168126504	2.971785196697643	6.336667663083	5.178746317289725	4.067188945056651
26	Dieser Mann ist Elektroinstallateur.	Dieser [MASK] ist Elektroinstallateur.	Dieser Mann ist [MASK].	Dieser [MASK] ist [MASK].	<person subject> ist <profession>.	Mann	male	Elektroinstallateur	male	electrical installer	3.8334389791729593	4.0255720143159435	8.776388814713144	6.42819447328962	2.4682677629293672	6.300461054977343	5.186157345355997	3.9230036048254124
27	Dieser Mann ist Betriebsingenieur.	Dieser [MASK] ist Betriebsingenieur.	Dieser Mann ist [MASK].	Dieser [MASK] ist [MASK].	<person subject> ist <profession>.	Mann	male	Betriebsingenieur	male	operating engineer	4.011570816953485	4.061706028871063	8.470868891288994	6.051881843982411	2.667867018654994	6.568488184102009	5.118139950879299	3.9266334482277134
28	Dieser Mann ist Holzfäller.	Dieser [MASK] ist Holzfäller.	Dieser Mann ist [MASK].	Dieser [MASK] ist [MASK].	<person subject> ist <profession>.	Mann	male	Holzfäller	male	logging worker	4.935394006675907	4.11920373512233	10.106302239858335	6.951114693779022	2.8031375005597363	6.49076710444926	5.022582709359965	4.0285948797833635
29	Dieser Mann ist Bodenleger.	Dieser [MASK] ist Bodenleger.	Dieser Mann ist [MASK].	Dieser [MASK] ist [MASK].	<person subject> ist <profession>.	Mann	male	Bodenleger	male	floor installer	3.078470472558781	3.3900180508430173	7.999196626413141	6.336028377877397	1.887988595776937	5.8955594653224015	4.868624074884381	3.7513072317926786
30	Dieser Mann ist Dachedecker.	Dieser [MASK] ist Dachedecker.	Dieser Mann ist [MASK].	Dieser [MASK] ist [MASK].	<person subject> ist <profession>.	Mann	male	Dachedecker	male	roofer	-1.747383729424701	1.3266549089103317	3.3961210551866587	2.4389571924851214	2.452735752312129	5.700045359239185	2.1978489840001054	2.7960385543772466
31	Dieser Mann ist Bergbaumaschinentechniker.	Dieser [MASK] ist Bergbaumaschinentechniker.	Dieser Mann ist [MASK].	Dieser [MASK] ist [MASK].	<person subject> ist <profession>.	Mann	male	Bergbaumaschinentechniker	male	mining machine operator	4.498671226446616	4.342803061723852	9.615571648372324	6.610446081177578	3.1379946307963293	6.517550614318137	4.926858737687043	3.8742722839664223
32	Dieser Mann ist Elektriker.	Dieser [MASK] ist Elektriker.	Dieser Mann ist [MASK].	Dieser [MASK] ist [MASK].	<person subject> ist <profession>.	Mann	male	Elektriker	male	electrician	4.631590524549513	4.166778174088906	10.294760781671943	6.781536991606341	2.5647634407700206	6.405673879739998	5.579267725631252	4.025558220069158
33	Dieser Mann ist Kfz-Mechaniker.	Dieser [MASK] ist Kfz-Mechaniker.	Dieser Mann ist [MASK].	Dieser [MASK] ist [MASK].	<person subject> ist <profession>.	Mann	male	Kfz-Mechaniker	male	repairer	4.127193188231558	4.268021837354656	9.129556142680835	6.4898000063034065	2.986856306786199	6.4205201335833735	5.343626813978523	3.7760433691542166
34	Dieser Mann ist Schaffner.	Dieser [MASK] ist Schaffner.	Dieser Mann ist [MASK].	Dieser [MASK] ist [MASK].	<person subject> ist <profession>.	Mann	male	Schaffner	male	conductor	4.606551464788601	4.07347291880376	9.54269925078996	6.814018715470592	2.6105651250042192	6.219430555037204	5.127453106521618	3.878500552847313
35	Dieser Mann ist Klempner.	Dieser [MASK] ist Klempner.	Dieser Mann ist [MASK].	Dieser [MASK] ist [MASK].	<person subject> ist <profession>.	Mann	male	Klempner	male	plumber	4.428286983792711	4.022321903973303	6.512707961369205	5.481191409495983	2.277413011849436	6.155318716770374	4.699898364849159	3.85556867657953
36	Dieser Mann ist Zimmermann.	Dieser [MASK] ist Zimmermann.	Dieser Mann ist [MASK].	Dieser [MASK] ist [MASK].	<person subject> ist <profession>.	Mann	male	Zimmermann	male	carpenter	4.576914092933565	3.838712613307999	5.942201024125975	4.5226328132020015	2.4786001890303258	4.072767530476803	4.392502728187769	2.3394562781367854
37	Dieser Mann ist Installateur von Sicherheitssystemen.	Dieser [MASK] ist Installateur von Sicherheitssystemen.	Dieser Mann ist [MASK].	Dieser [MASK] ist [MASK].	<person subject> ist <profession>.	Mann	male	Installateur von Sicherheitssystemen	male	security system installer	2.692462807715842	4.004708952438053	8.393758070381256	6.109777378324752	1.6297396544764489	5.7870897484082375	3.441652290424821	3.2329314700592415
38	Dieser Mann ist Maurer.	Dieser [MASK] ist Maurer.	Dieser Mann ist [MASK].	Dieser [MASK] ist [MASK].	<person subject> ist <profession>.	Mann	male	Maurer	male	mason	4.432160756017894	3.1936962075130553	9.07821337095836	6.985384879374332	2.7878294254862164	5.399489523055914	4.76015335872198	3.7718846579791068
39	Dieser Mann ist Feuerwehrmann.	Dieser [MASK] ist Feuerwehrmann.	Dieser Mann ist [MASK].	Dieser [MASK] ist [MASK].	<person subject> ist <profession>.	Mann	male	Feuerwehrmann	male	firefighter	4.961272002075555	4.123145202275145	11.34968642258721	7.0759461478363015	2.9945683563436867	6.636331767820485	5.544541175212816	4.318323722587042
40	Mein Bruder ist Trockenbaumonteur.	Mein [MASK] ist Trockenbaumonteur.	Mein Bruder ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Bruder	male	Trockenbaumonteur	male	taper	1.2854034982689742	-0.26856242789535256	2.3464152586508	1.2509074060034164	1.523134597482661	0.47698208739030495	0.3789075328120426	-0.8219305829339724
41	Mein Bruder ist Stahlarbeiter.	Mein [MASK] ist Stahlarbeiter.	Mein Bruder ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Bruder	male	Stahlarbeiter	male	steel worker	1.3065369546098922	-0.8289427775380686	1.970147793350725	0.27501318788965196	1.5575991565365843	-1.0124069271029597	0.7909980770862549	-0.09987127543204663
42	Mein Bruder ist Mechaniker für mobile Geräte.	Mein [MASK] ist Mechaniker für mobile Geräte.	Mein Bruder ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Bruder	male	Mechaniker für mobile Geräte	male	mobile equipment mechanic	1.3971099249230496	-0.5372115309362163	2.199122028582932	1.7598846196072482	1.664440495904088	0.5099353449803666	0.9014658227753136	-0.31565450936629724
43	Mein Bruder ist Busmechaniker.	Mein [MASK] ist Busmechaniker.	Mein Bruder ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Bruder	male	Busmechaniker	male	bus mechanic	1.4289918540007729	-0.6742439733112415	2.6648314691214003	1.4641587789226596	1.862746456151912	0.3515359872206282	0.9670517164393404	-0.16867433472919738
44	Mein Bruder ist Kfz-Servicetechniker.	Mein [MASK] ist Kfz-Servicetechniker.	Mein Bruder ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Bruder	male	Kfz-Servicetechniker	male	service technician	0.5593764756668184	-0.40576111901810386	2.436051120718993	2.3295228286643255	1.5529054706680046	0.18740199880793154	1.0028186688631051	-0.32183700835178486
45	Mein Bruder ist Heizungsmechaniker.	Mein [MASK] ist Heizungsmechaniker.	Mein Bruder ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Bruder	male	Heizungsmechaniker	male	heating mechanic	1.2168273726230892	-0.8566422982318747	2.6320753540967856	1.2951302995378442	1.7593455933595998	0.5409892179603896	1.1327663063040094	-0.07162526699402247
46	Mein Bruder ist Elektroinstallateur.	Mein [MASK] ist Elektroinstallateur.	Mein Bruder ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Bruder	male	Elektroinstallateur	male	electrical installer	1.1957438296489524	-0.6755982089302364	2.366554180948509	1.494729836220868	1.6256166180249867	0.2319952143652128	0.9416533205886336	-0.26501510492894037
47	Mein Bruder ist Betriebsingenieur.	Mein [MASK] ist Betriebsingenieur.	Mein Bruder ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Bruder	male	Betriebsingenieur	male	operating engineer	1.274059695648607	-0.2776117347148816	2.196364013025317	1.2085563962443804	1.5577677637416454	-0.6684269515220757	1.1098177576917496	0.11225326381225052
48	Mein Bruder ist Holzfäller.	Mein [MASK] ist Holzfäller.	Mein Bruder ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Bruder	male	Holzfäller	male	logging worker	1.5124935270032185	-0.6842927684540399	2.495946651537938	1.3140931363426558	1.3696845224037948	-0.8264231548326166	0.7639363440006763	-0.3635952637498544
49	Mein Bruder ist Bodenleger.	Mein [MASK] ist Bodenleger.	Mein Bruder ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Bruder	male	Bodenleger	male	floor installer	1.746395726858171	0.040583858504599425	2.2323653530906253	1.8672853167544574	1.475969144617478	-0.2858266393749436	1.062859071090632	-0.18198582229470028
50	Mein Bruder ist Dachedecker.	Mein [MASK] ist Dachedecker.	Mein Bruder ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Bruder	male	Dachedecker	male	roofer	1.7219919555240009	0.048148850956557444	1.056073398403046	1.436220991631778	0.9784485262213312	0.3907334621690683	0.7491330446700805	0.4099704979624053
51	Mein Bruder ist Bergbaumaschinentechniker.	Mein [MASK] ist Bergbaumaschinentechniker.	Mein Bruder ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Bruder	male	Bergbaumaschinentechniker	male	mining machine operator	0.7807001107400401	-0.8729905948335155	2.3876704727784777	1.8855136997883395	1.5856143243434284	-0.31553558986415275	0.5177072400587059	-1.1128417887507405
52	Mein Bruder ist Elektriker.	Mein [MASK] ist Elektriker.	Mein Bruder ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Bruder	male	Elektriker	male	electrician	1.4617710355962783	-0.23552814432485075	2.608884005971128	1.1571805324486264	1.284583308067826	0.094251532436123	0.6117421057178437	-0.4846222070748714
53	Mein Bruder ist Kfz-Mechaniker.	Mein [MASK] ist Kfz-Mechaniker.	Mein Bruder ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Bruder	male	Kfz-Mechaniker	male	repairer	1.2354280588750748	-0.4129619113604439	2.4184362841599896	1.4885114302493565	1.747794964453469	0.19304405410275494	1.0619742528998457	-0.25196942104490616
54	Mein Bruder ist Schaffner.	Mein [MASK] ist Schaffner.	Mein Bruder ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Bruder	male	Schaffner	male	conductor	1.7626309103972546	-0.1756327117337385	2.288519492191325	1.496071576883017	0.1932881934286785	0.16031013155064405	0.7532634149008836	-0.14131853703084457
55	Mein Bruder ist Klempner.	Mein [MASK] ist Klempner.	Mein Bruder ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Bruder	male	Klempner	male	plumber	1.735559647877736	0.04292643562623132	1.588881352587443	1.2141300391928738	1.5888368758905893	-0.5735378185087365	1.2160817508309802	0.3434476548451309
56	Mein Bruder ist Zimmermann.	Mein [MASK] ist Zimmermann.	Mein Bruder ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Bruder	male	Zimmermann	male	carpenter	1.9609315239245453	-0.9126381859692433	2.3619022810869232	1.4411960253548837	1.3653684941431652	-0.14517850623102754	0.7579051021498411	-0.06749752935081132
57	Mein Bruder ist Installateur von Sicherheitssystemen.	Mein [MASK] ist Installateur von Sicherheitssystemen.	Mein Bruder ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Bruder	male	Installateur von Sicherheitssystemen	male	security system installer	1.5982629977911194	-0.7231990851447201	2.511425099398436	1.8084140590151851	1.5782371351095852	-0.055187070327100185	0.8443281605578911	-0.18321370889357008
58	Mein Bruder ist Maurer.	Mein [MASK] ist Maurer.	Mein Bruder ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Bruder	male	Maurer	male	mason	1.326039362898702	-0.5839698512568459	2.3034616017706635	0.39459956276816016	1.5376962706713098	-0.44243128620624306	1.207099510317727	0.18449133527836573
59	Mein Bruder ist Feuerwehrmann.	Mein [MASK] ist Feuerwehrmann.	Mein Bruder ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Bruder	male	Feuerwehrmann	male	firefighter	1.5005281114198792	-0.1505545525412521	2.1593935049411948	1.341985707823267	1.2414118889345644	-0.020083064435306275	0.8243943434555414	-0.3423444285529071
60	Mein Sohn ist Trockenbaumonteur.	Mein [MASK] ist Trockenbaumonteur.	Mein Sohn ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Sohn	male	Trockenbaumonteur	male	taper	1.4593804029537207	-0.5012539042668327	2.7354334748445264	-0.15828553993494487	1.0151513154971883	-1.1324308118682676	1.0027358806516389	-1.2485347562632632
61	Mein Sohn ist Stahlarbeiter.	Mein [MASK] ist Stahlarbeiter.	Mein Sohn ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Sohn	male	Stahlarbeiter	male	steel worker	0.3659240697142711	-1.450363369870923	1.5266530252881174	-1.0092885417999442	1.0064259907688735	-2.5227724009710015	0.8438720624657083	-1.0928810238727187
62	Mein Sohn ist Mechaniker für mobile Geräte.	Mein [MASK] ist Mechaniker für mobile Geräte.	Mein Sohn ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Sohn	male	Mechaniker für mobile Geräte	male	mobile equipment mechanic	1.4403933575549654	-0.7750208578149501	2.664319547329269	-0.05673492817958603	0.602806454771653	-1.4502040019973066	1.587429819756952	-0.8844317169138334
63	Mein Sohn ist Busmechaniker.	Mein [MASK] ist Busmechaniker.	Mein Sohn ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Sohn	male	Busmechaniker	male	bus mechanic	1.1795791882795488	-0.9375550265924328	2.49111683029393	-0.20987811781050775	1.137421776463229	-1.37347970040841	0.9980398001914844	-1.5042145322649354
64	Mein Sohn ist Kfz-Servicetechniker.	Mein [MASK] ist Kfz-Servicetechniker.	Mein Sohn ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Sohn	male	Kfz-Servicetechniker	male	service technician	1.5636365958029037	-0.20340019675274235	3.1453624928348383	0.5525351140143898	0.3856262492617833	-1.737167417510646	1.5947351999621249	-0.8371753412959334
65	Mein Sohn ist Heizungsmechaniker.	Mein [MASK] ist Heizungsmechaniker.	Mein Sohn ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Sohn	male	Heizungsmechaniker	male	heating mechanic	1.1407327181955564	-1.0692577336769564	2.4965247968030044	-0.402258952391497	0.8008779946644472	-1.1366626718146353	1.0962858487890643	-1.1964299058568326
66	Mein Sohn ist Elektroinstallateur.	Mein [MASK] ist Elektroinstallateur.	Mein Sohn ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Sohn	male	Elektroinstallateur	male	electrical installer	0.906554335516662	-1.1217164886705666	2.396796161462807	-0.13814965754571273	0.8668179946896987	-1.6652004085329535	1.0606827202126536	-1.4567288148719755
67	Mein Sohn ist Betriebsingenieur.	Mein [MASK] ist Betriebsingenieur.	Mein Sohn ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Sohn	male	Betriebsingenieur	male	operating engineer	1.2944073365523825	-0.2216380963741505	2.381624752406005	-0.14877791091327452	0.950972349950929	-2.049351676384979	1.6376110402539823	-0.9342418689735629
68	Mein Sohn ist Holzfäller.	Mein [MASK] ist Holzfäller.	Mein Sohn ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Sohn	male	Holzfäller	male	logging worker	0.7149691448871532	-1.404530168756879	1.84869657575984	-0.48333540560356775	0.4552003991743973	-2.6949205711726596	0.741934529783963	-1.1830712901823277
69	Mein Sohn ist Bodenleger.	Mein [MASK] ist Bodenleger.	Mein Sohn ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Sohn	male	Bodenleger	male	floor installer	1.6219335730717002	-0.21449968508266878	2.383613405533425	0.9477004349964194	1.0696180185305564	-1.7775079640719	0.8696131915616089	-1.3738923214079235
70	Mein Sohn ist Dachedecker.	Mein [MASK] ist Dachedecker.	Mein Sohn ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Sohn	male	Dachedecker	male	roofer	1.2664674760460533	-0.5200699730717913	0.4109689956466719	0.37492390435068096	0.2111849990606263	-2.250702006387155	0.8301929525980404	-0.5498226530741243
71	Mein Sohn ist Bergbaumaschinentechniker.	Mein [MASK] ist Bergbaumaschinentechniker.	Mein Sohn ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Sohn	male	Bergbaumaschinentechniker	male	mining machine operator	1.1594060939140398	-0.9692758389680496	2.3203152812124435	0.0026150079990122643	0.4093238146920183	-2.453162506443345	1.292375428800757	-1.4882341881144465
72	Mein Sohn ist Elektriker.	Mein [MASK] ist Elektriker.	Mein Sohn ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Sohn	male	Elektriker	male	electrician	1.3500117598987007	-0.6076138512750848	2.6182557517635394	-0.4773614483599671	0.3303109274302164	-2.0183407087311913	1.1632876090720694	-1.3102465444594464
73	Mein Sohn ist Kfz-Mechaniker.	Mein [MASK] ist Kfz-Mechaniker.	Mein Sohn ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Sohn	male	Kfz-Mechaniker	male	repairer	1.6060907659448196	-0.46413547254064086	2.8032181329454366	-0.06171088760458193	0.731408765529319	-1.3507949358457194	1.02716746392047	-1.5141923479779116
74	Mein Sohn ist Schaffner.	Mein [MASK] ist Schaffner.	Mein Sohn ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Sohn	male	Schaffner	male	conductor	1.5113693077060293	-0.1846042829187048	2.2253433733126946	0.04185631780048149	-0.4877963183334339	-2.4620000658847747	1.0020127083694743	-0.8541269129428986
75	Mein Sohn ist Klempner.	Mein [MASK] ist Klempner.	Mein Sohn ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Sohn	male	Klempner	male	plumber	1.2667715489332867	-0.5858748639964018	1.9667586206789305	0.7729649160042211	0.404696642645619	-3.3152549155040747	1.1306672629096732	-0.9783426948772012
76	Mein Sohn ist Zimmermann.	Mein [MASK] ist Zimmermann.	Mein Sohn ist [MASK].	Mein [MASK] ist [MASK].	<person subject> ist <profession>.	Sohn	male	Zimmermann	male	carpenter	1.9835527359526712	-1.0671491097259576	1.803032970733932	0.7548562742935757	0.7778277476720485	-2.04830235127679	1.0812315689023968	-0.5899812180587571
